N	2gram	Propp_Morf_1	Myshleni
1	в том	6	33
2	том что	4	27
3	точки зрения	2	26
4	то что	8	20
5	в этом	14	19
6	с точки	2	18
7	того что	3	17
8	и в	13	15
9	не только	4	15
10	что в	8	14
11	таким образом	21	14
12	что он	4	12
13	того чтобы	3	12
14	в целом	3	10
15	но и	4	10
16	было бы	3	10
17	для того	2	10
18	мы не	8	10
19	мы можем	2	10
20	может быть	52	9
21	не является	3	9
22	не может	14	9
23	что мы	2	9
24	о том	2	9
25	в сущности	3	9
26	связи с	10	9
27	так и	6	8
28	не в	3	8
29	и что	2	8
30	если бы	2	8
31	к тому	4	7
32	и не	12	7
33	потому что	3	7
34	как бы	3	7
35	он не	3	7
36	во всяком	2	7
37	в частности	2	6
38	как мы	6	6
39	в этой	2	6
40	на то	2	6
41	по отношению	4	6
42	в связи	9	6
43	с другой	8	6
44	сказать что	2	6
45	мы должны	3	6
46	как это	3	6
47	но в	2	6
48	вовсе не	4	6
49	и к	4	6
50	как и	3	6
51	если мы	5	6
52	самом деле	4	6
53	всяком случае	2	6
54	что эта	2	6
55	там где	5	6
56	это не	6	5
57	вопрос о	7	5
58	смысле слова	4	5
59	и др	10	5
60	и их	2	5
61	друг друга	3	5
62	по существу	12	5
63	отношению к	4	5
64	приводит к	2	5
65	показать что	4	5
66	то же	7	5
67	можно было	2	5
68	этот вопрос	2	5
69	связана с	3	4
70	на вопрос	2	4
71	независимо от	3	4
72	прежде всего	9	4
73	для нас	2	4
74	несмотря на	4	4
75	который в	2	4
76	не имеет	2	4
77	так же	3	4
78	а в	7	4
79	в начале	3	4
80	при помощи	9	4
81	так как	16	4
82	с его	2	4
83	к этому	3	4
84	все же	7	4
85	мы видим	13	4
86	в качестве	5	4
87	как в	3	4
88	что его	2	4
89	того как	2	4
90	а с	2	4
91	хотя бы	4	4
92	только в	2	4
93	в которой	3	4
94	мы будем	3	3
95	во время	6	3
96	в собственном	3	3
97	об этом	4	3
98	что они	2	3
99	чем это	2	3
100	из двух	2	3
101	но мы	3	3
102	из них	3	3
103	со стороны	3	3
104	все эти	2	3
105	с собой	3	3
106	и по	2	3
107	в которых	2	3
108	в результате	7	3
109	рассматриваться как	2	3
110	мы имеем	9	3
111	не существует	3	3
112	с этим	11	3
113	состоит в	2	3
114	но не	4	3
115	что при	2	3
116	животных и	3	3
117	собственном смысле	3	3
118	что она	2	3
119	только что	2	3
120	на самом	4	3
121	а не	11	3
122	из которых	3	3
123	с логической	2	3
124	или в	4	3
125	и ее	3	3
126	ничего не	4	3
127	не могут	4	2
128	относятся к	2	2
129	и есть	2	2
130	в этих	13	2
131	перед нами	10	2
132	так называемых	2	2
133	раньше чем	3	2
134	как например	2	2
135	как уже	2	2
136	можно сказать	2	2
137	и как	5	2
138	но все	3	2
139	вопрос не	2	2
140	случае не	3	2
141	в ином	2	2
142	и тем	2	2
143	могут быть	16	2
144	в некоторых	3	2
145	от того	3	2
146	есть нечто	3	2
147	целый ряд	3	2
148	в других	3	2
149	но для	2	2
150	в отдельных	3	2
151	но если	7	2
152	говорить о	3	2
153	также и	4	2
154	а также	4	2
155	бы они	2	2
156	он должен	2	2
157	увидим ниже	5	2
158	представляет собой	17	2
159	эта функция	4	2
160	мы увидим	8	2
161	следует за	2	2
162	наряду с	5	2
163	в один	3	2
164	следующим образом	3	2
165	должны будем	2	2
166	что и	7	2
167	во всех	4	2
168	или менее	2	2
169	без всякого	2	2
170	что же	2	2
171	и для	2	2
172	к чему	3	2
173	тому как	5	2
174	тем что	4	2
175	подобно тому	6	2
176	в другом	2	2
177	ту же	2	2
178	заметить что	8	2
179	более или	2	2
