N	2gram	Potebnia_M_2	NovoeSre
1	а не	18	17
2	не может	12	16
3	и в	24	16
4	совсем не	2	12
5	и не	19	11
6	и есть	2	10
7	что в	16	9
8	как не	3	8
9	в том	18	8
10	как и	7	7
11	в этом	8	7
12	может быть	23	7
13	с его	2	6
14	никогда не	4	6
15	не в	13	6
16	но это	3	6
17	в нем	9	5
18	все это	2	5
19	в жизни	2	5
20	в ней	3	5
21	не только	15	5
22	не менее	5	4
23	то что	20	4
24	перестает быть	2	4
25	в них	5	4
26	это не	3	4
27	не во	2	4
28	и все	3	4
29	не было	6	4
30	быть может	7	4
31	не имеет	6	4
32	и для	3	4
33	должно быть	2	4
34	потому что	49	4
35	прежде всего	7	4
36	о том	5	4
37	и потому	2	4
38	но и	9	3
39	не есть	6	3
40	с другой	6	3
41	вопрос о	2	3
42	человека и	3	3
43	во всех	7	3
44	что такое	2	3
45	с тем	4	3
46	подобно тому	4	3
47	как в	10	3
48	еще не	4	3
49	тому как	4	3
50	за пределы	2	3
51	сказать что	2	3
52	это было	2	3
53	что все	2	2
54	и весь	2	2
55	место в	4	2
56	у него	2	2
57	вместе с	11	2
58	но она	3	2
59	в природе	5	2
60	так и	5	2
61	что она	3	2
62	другой стороны	2	2
63	и от	3	2
64	мы говорим	3	2
65	а в	8	2
66	с одной	4	2
67	этом смысле	2	2
68	все эти	2	2
69	думать что	3	2
70	стремление к	2	2
71	уже не	4	2
72	такой же	4	2
73	того чтобы	2	2
74	одной стороны	3	2
75	зависит от	2	2
76	хотя бы	2	2
77	но не	12	2
78	так же	2	2
79	время как	4	2
80	мы не	11	2
81	том что	8	2
82	есть в	2	2
83	можно назвать	2	2
84	одна из	4	2
85	в обществе	2	2
86	и что	4	2
87	могут быть	8	2
88	с этим	7	2
89	и на	8	2
90	в себе	10	2
91	в то	6	2
92	и это	2	2
93	не имеют	2	2
94	когда мы	2	2
95	как это	2	2
96	мысли в	3	2
97	хотя и	3	2
98	но в	4	2
99	помнить что	3	2
