N	3gram	Potebnia_M_4	Psycholo
1	и т п	4	15
2	в том что	7	9
3	и т д	3	8
4	на то что	4	8
5	не может быть	5	8
6	о том что	5	7
7	во всяком случае	3	6
8	само по себе	5	5
9	подобно тому как	2	5
10	не в том	2	5
11	для того чтобы	4	5
12	только тогда когда	4	4
13	не в состоянии	2	3
14	только в том	2	3
15	до сих пор	4	3
16	не только не	3	3
17	мы не можем	3	2
18	слова то есть	3	2
19	в таком случае	2	2
20	с точки зрения	3	2
21	то же самое	4	2
22	то что я	7	2
23	и таким образом	3	2
24	тем не менее	4	2
25	а в том	2	2
26	от того что	3	2
27	в том и	2	2
28	вместе с тем	3	2
29	то есть в	2	2
30	в том случае	3	2
31	на самом деле	3	2
32	что и в	2	2
