N	2gram	Bakhtin_KF_1	Morfolog
1	может быть	45	52
2	и пр	3	40
3	не может	27	17
4	могут быть	3	15
5	и в	24	13
6	в этом	14	13
7	прежде всего	2	9
8	так и	2	9
9	то же	5	9
10	и не	26	9
11	а не	17	9
12	мы имеем	5	9
13	что и	7	8
14	вопрос о	2	7
15	и этим	3	7
16	в качестве	2	7
17	все же	5	7
18	имеем в	2	7
19	это не	10	6
20	и здесь	7	6
21	в том	6	6
22	но не	12	6
23	а в	4	6
24	не менее	3	5
25	этот момент	6	5
26	во всех	11	5
27	как бы	9	5
28	один из	2	5
29	то что	7	5
30	потому что	2	5
31	мы не	3	5
32	что в	4	4
33	и как	2	4
34	вовсе не	7	4
35	тем не	2	4
36	отношению к	22	4
37	было бы	8	4
38	ни одна	2	4
39	не только	5	4
40	как в	2	4
41	по отношению	26	4
42	как и	5	4
43	там где	5	4
44	тем что	3	4
45	точки зрения	12	4
46	с точки	9	4
47	могла бы	4	4
48	его в	5	4
49	ничего не	3	4
50	независимо от	3	3
51	если бы	8	3
52	это уже	2	3
53	том что	4	3
54	но все	5	3
55	но это	6	3
56	на нем	2	3
57	в целом	10	3
58	того чтобы	2	3
59	он не	6	3
60	ни в	12	3
61	но и	9	3
62	от того	3	3
63	входит в	3	3
64	для этой	3	3
65	на самом	3	3
66	самом деле	3	3
67	и отсюда	2	3
68	из которых	2	3
69	к чему	3	3
70	к нему	12	3
71	и для	9	3
72	а по	2	3
73	и ее	2	3
74	в то	3	3
75	но в	5	3
76	ни к	2	2
77	совсем не	2	2
78	с тем	2	2
79	в виде	2	2
80	его и	2	2
81	и за	2	2
82	хотя бы	4	2
83	та же	2	2
84	что эта	2	2
85	к этому	2	2
86	что он	2	2
87	чему не	2	2
88	из его	3	2
89	только в	16	2
90	от него	3	2
91	момент в	7	2
92	для него	8	2
93	с этого	2	2
94	но есть	2	2
95	но для	2	2
96	не значит	6	2
97	себя и	2	2
98	оно не	2	2
99	себя в	8	2
100	быть и	3	2
101	знать что	2	2
102	может не	2	2
103	и только	6	2
104	а с	2	2
105	все эти	10	2
106	к себе	2	2
107	того что	3	2
108	для того	3	2
109	уже не	7	2
110	себя за	2	2
111	не имеет	5	2
112	и его	17	2
113	в каком	4	2
114	в другом	3	2
115	не знает	5	2
116	о том	3	2
117	ясно что	3	2
118	здесь не	3	2
119	но здесь	3	2
120	а эта	3	2
121	это было	2	2
