N	2gram	Kanaev_Sov_1	VerxiiNi
1	и в	7	26
2	таким образом	11	22
3	вместе с	4	15
4	в этом	7	15
5	точки зрения	12	13
6	как бы	4	12
7	в том	4	11
8	может быть	12	10
9	не только	4	10
10	из этих	2	10
11	что в	2	9
12	в области	3	9
13	так как	4	9
14	и не	6	8
15	но все	2	7
16	из них	4	7
17	с одной	2	7
18	но в	3	7
19	в конце	3	6
20	и потому	3	6
21	всяком случае	2	6
22	все же	3	6
23	все это	3	6
24	все эти	5	6
25	с точки	5	6
26	во всяком	2	6
27	в себе	3	6
28	мы должны	4	6
29	и т.д	3	6
30	и к	3	5
31	друг с	2	5
32	в его	2	5
33	с другом	2	5
34	а не	3	5
35	что все	2	4
36	в нем	3	4
37	из которых	2	4
38	в самом	2	4
39	не может	17	4
40	а в	4	4
41	то же	3	4
42	и что	2	4
43	на этот	2	4
44	и по	2	4
45	в виде	2	4
46	в этой	3	4
47	не менее	2	3
48	что это	2	3
49	ясно что	3	3
50	каждая из	2	3
51	с самого	3	3
52	тем не	2	3
53	при этом	3	3
54	уже не	2	3
55	и даже	2	3
56	в которой	2	3
57	в таком	2	3
58	в результате	6	3
59	в одном	3	3
60	уже в	3	2
61	не могут	2	2
62	самого начала	3	2
63	он в	3	2
64	при таком	3	2
65	прежде всего	5	2
66	в свою	2	2
67	или иной	2	2
68	то ни	2	2
69	мы видели	4	2
70	тот же	2	2
71	еще не	3	2
72	со всеми	2	2
73	жизни и	4	2
74	быть и	2	2
75	приводит к	2	2
76	отличается от	3	2
77	у всех	3	2
78	можно назвать	2	2
79	не в	3	2
80	мы можем	6	2
81	и наконец	5	2
82	же самое	2	2
83	и все	3	2
