N	2gram	Propp_Isto_4	RusskieA
1	и в	26	29
2	т е	18	24
3	что в	14	22
4	том что	3	22
5	в том	3	22
6	как бы	3	18
7	в других	2	15
8	и другие	3	14
9	может быть	14	13
10	так как	9	13
11	во время	7	12
12	как и	7	11
13	одна из	2	11
14	в этом	7	11
15	все это	2	10
16	в лесу	12	10
17	в этот	4	10
18	е в	3	10
19	и с	5	10
20	не только	15	10
21	а на	4	9
22	о том	4	9
23	в некоторых	5	9
24	а в	8	9
25	показывает что	10	8
26	или на	2	8
27	но и	12	8
28	его в	9	8
29	из леса	2	7
30	мы видели	6	7
31	данном случае	3	7
32	как в	7	7
33	или в	3	7
34	представляют собой	4	7
35	с тем	2	6
36	этом случае	3	6
37	же в	3	6
38	в обряде	2	6
39	еще не	6	6
40	для нас	3	6
41	вместе с	6	6
42	таким образом	10	6
43	при этом	3	6
44	и на	2	6
45	в данном	3	6
46	мы имеем	7	6
47	на земле	3	5
48	потому что	6	5
49	это не	5	5
50	к этому	5	5
51	то что	16	5
52	и что	5	5
53	но не	5	5
54	и т	27	5
55	не может	6	5
56	или же	3	5
57	т д	24	5
58	земли и	2	5
59	но в	5	5
60	видели что	3	4
61	о чем	3	4
62	и все	2	4
63	вопрос о	4	4
64	а затем	3	4
65	уже не	5	4
66	по существу	3	4
67	так что	2	4
68	не в	5	4
69	предположить что	6	4
70	на поле	3	4
71	этих случаях	8	4
72	из них	2	4
73	к нему	6	4
74	же как	13	4
75	а также	3	4
76	в русских	2	4
77	в фольклоре	2	4
78	так же	18	4
79	то же	8	4
80	у нас	2	4
81	мы рассмотрим	7	4
82	а не	6	4
83	в которых	4	4
84	их в	7	4
85	в виде	2	4
86	поле и	2	4
87	как это	3	4
88	на этом	2	3
89	тем что	5	3
90	и там	2	3
91	должен был	3	3
92	в этих	7	3
93	в качестве	7	3
94	и других	3	3
95	не всегда	6	3
96	главным образом	2	3
97	живет в	2	3
98	она не	3	3
99	что здесь	7	3
100	в лес	3	3
101	того что	2	3
102	было бы	2	3
103	нас к	7	3
104	что она	3	3
105	не имеет	3	3
106	связь с	12	3
107	только тогда	3	3
108	а именно	3	3
109	в свете	3	3
110	можно предположить	3	3
111	все эти	3	3
112	д к	6	3
113	и по	5	3
114	к зеленин	5	3
115	как мы	5	3
116	выше мы	2	3
117	леса и	2	3
118	но он	4	3
119	в этой	2	3
120	в таких	2	3
121	что это	2	3
122	не менее	2	2
123	с этой	2	2
124	связь между	2	2
125	связи с	3	2
126	ниже в	2	2
127	об этом	7	2
128	могут быть	6	2
129	никогда не	2	2
130	связанные с	3	2
131	с другой	4	2
132	представления о	3	2
133	из этих	3	2
134	иногда и	2	2
135	в образе	3	2
136	более позднее	4	2
137	представлений о	2	2
138	не что	3	2
139	что и	9	2
140	говорит о	2	2
141	чтобы вызвать	3	2
142	это и	5	2
143	и как	5	2
144	приводит нас	4	2
145	и при	3	2
146	через него	3	2
147	после того	2	2
148	нам право	2	2
149	и пр	11	2
150	что на	2	2
151	тем не	2	2
152	он показывает	2	2
153	или просто	2	2
154	все же	9	2
155	в своей	4	2
156	не к	2	2
157	дело не	2	2
158	в форме	2	2
159	тогда как	4	2
160	того как	4	2
161	верхом на	3	2
162	там где	3	2
163	этот вопрос	2	2
164	здесь мы	2	2
165	эта связь	5	2
166	мы здесь	2	2
167	из которых	5	2
168	право на	2	2
169	так в	4	2
170	и то	6	2
171	в руки	3	2
172	с этим	2	2
173	на себя	4	2
174	что иное	3	2
175	во всем	3	2
176	представляет собой	2	2
177	путем трения	3	2
178	есть в	2	2
179	иное как	3	2
180	леса в	2	2
