N	2gram	Bakhtin_Pr_1	Sotsiolo
1	все это	7	7
2	в том	11	5
3	в этом	25	5
4	не в	6	3
5	как же	3	3
6	для нас	3	3
7	в его	24	3
8	и в	23	3
9	не только	13	3
10	или даже	2	2
11	по отношению	11	2
12	еще не	5	2
13	было бы	6	2
14	как будто	3	2
15	только в	8	2
16	в конце	5	2
17	по существу	4	2
18	это и	9	2
19	таким образом	11	2
20	том что	9	2
21	то же	10	2
22	отношению к	11	2
23	то что	18	2
24	может быть	21	2
25	за пределы	6	2
26	в результате	4	2
27	но и	11	2
28	в смысле	2	2
29	как бы	28	2
30	должна быть	2	2
31	конце концов	4	2
32	ведь это	2	2
33	что в	8	2
