N	2gram	Losev_Prob_5	Tvorches
1	и в	30	20
2	в году	5	16
3	не только	18	13
4	никогда не	7	11
5	как бы	6	11
6	в его	12	10
7	таким образом	13	10
8	в то	4	10
9	и его	6	9
10	и не	12	9
11	прежде всего	6	8
12	в том	12	8
13	при этом	4	8
14	но и	13	8
15	может быть	7	8
16	в этом	17	8
17	и с	5	8
18	это не	2	7
19	представление о	2	7
20	наряду с	2	7
21	что в	5	7
22	не может	5	7
23	то же	2	7
24	потому что	13	7
25	у него	11	6
26	в конце	8	6
27	что он	7	6
28	как и	7	6
29	в своей	22	6
30	так и	7	6
31	именно в	3	6
32	а не	5	6
33	если он	2	5
34	еще не	3	5
35	но не	7	5
36	и сам	4	5
37	все же	9	5
38	и даже	14	5
39	так же	5	5
40	и на	6	5
41	в этой	10	5
42	о том	12	5
43	то есть	21	5
44	об этом	4	4
45	что у	5	4
46	в духе	3	4
47	мы не	2	4
48	том что	17	4
49	в дальнейшем	7	4
50	что они	3	4
51	отнюдь не	4	4
52	на его	2	4
53	хотя и	8	4
54	когда он	2	4
55	как в	2	4
56	если не	4	4
57	все эти	2	4
58	не в	7	4
59	а в	6	4
60	в чем	2	4
61	ничего не	2	4
62	но в	9	4
63	а с	4	3
64	он сам	3	3
65	жизни в	4	3
66	с этой	2	3
67	в одной	2	3
68	человека и	4	3
69	к этому	2	3
70	с ним	3	3
71	отношению к	2	3
72	в античной	2	3
73	что не	2	3
74	в самом	5	3
75	он не	3	3
76	в котором	2	3
77	один из	2	3
78	в нем	6	3
79	то что	18	3
80	но уже	2	3
81	вместе с	7	3
82	сих пор	2	3
83	по отношению	2	3
84	по мнению	2	3
85	так как	6	3
86	уже не	6	3
87	в таком	2	3
88	тем что	2	3
89	в себе	4	3
90	в начале	3	3
91	его в	6	3
92	любви к	2	3
93	между тем	2	3
94	до сих	2	3
95	уже в	2	2
96	все время	3	2
97	не менее	5	2
98	по словам	2	2
99	это уже	2	2
100	и без	2	2
101	с другой	6	2
102	по крайней	4	2
103	в одном	3	2
104	я не	2	2
105	вовсе не	8	2
106	во всяком	2	2
107	крайней мере	4	2
108	в ее	3	2
109	что его	3	2
110	у нас	7	2
111	так что	11	2
112	как о	4	2
113	а скорее	2	2
114	в частности	4	2
115	то у	2	2
116	всяком случае	2	2
117	преступления и	2	2
118	только для	2	2
119	в первой	2	2
120	на землю	7	2
121	на него	2	2
122	и тогда	2	2
123	бы не	3	2
124	ли не	2	2
125	всякого рода	2	2
126	самом деле	2	2
127	и что	6	2
128	и у	5	2
129	другой стороны	6	2
130	и он	4	2
131	не так	4	2
132	тут же	6	2
133	более всего	2	2
134	что этот	5	2
135	из них	2	2
136	в виде	10	2
137	в которой	5	2
138	и вообще	9	2
139	и только	2	2
140	только в	9	2
141	в русской	3	2
142	при помощи	6	2
143	таком случае	2	2
144	из этого	4	2
145	едва ли	4	2
146	тоже не	2	2
147	же не	4	2
