N	2gram	Tiupa_Lite_2	slovoVRo
1	и в	19	39
2	может быть	17	37
3	и т	2	35
4	и его	3	33
5	т п	2	33
6	то есть	5	26
7	не только	8	24
8	и не	11	22
9	но и	10	21
10	не может	9	20
11	в нем	3	19
12	до конца	2	17
13	в этом	9	16
14	так и	7	15
15	а не	20	14
16	во всех	3	12
17	в истории	2	11
18	вовсе не	2	10
19	к своему	2	9
20	не в	4	9
21	и с	3	9
22	прежде всего	4	8
23	себя в	6	8
24	слова и	7	8
25	точки зрения	4	8
26	при этом	6	7
27	для него	4	7
28	еще не	2	7
29	в его	4	7
30	как бы	2	7
31	никогда не	3	7
32	и даже	8	7
33	могут быть	2	7
34	с ним	2	7
35	в него	2	7
36	в них	2	6
37	и к	2	6
38	этом случае	2	6
39	все же	2	6
40	как и	10	6
41	но не	5	6
42	в сущности	3	6
43	жизни и	4	6
44	но в	2	6
45	с другой	8	5
46	и для	3	5
47	для нас	2	5
48	том что	7	5
49	одной стороны	6	5
50	в том	10	5
51	один из	4	5
52	с одной	7	5
53	человека в	4	5
54	уже не	2	5
55	и наконец	2	5
56	не менее	6	4
57	и др	3	4
58	себя и	2	4
59	на фоне	5	4
60	отношению к	3	4
61	же время	9	4
62	одна из	5	4
63	наконец в	2	4
64	по отношению	4	4
65	для этого	2	4
66	то же	12	4
67	и других	4	4
68	для всех	5	4
69	и иных	2	4
70	а в	3	4
71	и на	6	4
72	в основе	2	4
73	даже и	2	4
74	в то	9	4
75	так как	3	4
76	что в	4	3
77	хотя бы	2	3
78	не столько	3	3
79	не с	3	3
80	что и	2	3
81	но это	3	3
82	на этом	2	3
83	у него	2	3
84	и как	3	3
85	как к	3	3
86	в ней	4	3
87	этом отношении	3	3
88	героя в	2	3
89	а также	2	3
90	с точки	3	3
91	той же	2	3
92	ту же	2	3
93	как это	2	3
94	в данном	3	2
95	уже в	2	2
96	не было	2	2
97	в сфере	4	2
98	однако в	6	2
99	в нашем	2	2
100	жизни в	4	2
101	как уже	2	2
102	в себе	6	2
103	что он	3	2
104	с ее	2	2
105	х годов	3	2
106	все что	2	2
107	но лишь	3	2
108	и нет	2	2
109	в поэзии	3	2
110	даже в	4	2
111	то что	7	2
112	вместе с	5	2
113	а именно	3	2
114	в их	3	2
115	так в	5	2
116	в себя	3	2
117	мы не	4	2
118	и т.п	10	2
119	для того	2	2
120	одним из	3	2
121	в результате	2	2
122	он не	5	2
123	но как	2	2
124	в противовес	3	2
125	в другом	3	2
126	не знает	2	2
127	о том	2	2
128	как он	2	2
129	в области	4	2
130	в одном	2	2
