N	2gram	Trubetskoy_1	Hudozhes
1	в мире	4	23
2	в качестве	3	19
3	состоит в	2	16
4	и не	19	16
5	в том	17	15
6	и в	14	15
7	не только	9	15
8	в частности	2	13
9	может быть	9	13
10	тогда как	2	13
11	при этом	5	12
12	а в	5	12
13	но не	4	11
14	в этом	17	11
15	в себе	9	11
16	как бы	4	10
17	но и	10	10
18	по отношению	2	10
19	то же	11	10
20	а не	2	10
21	в его	4	9
22	точки зрения	11	9
23	себя в	4	8
24	сводится к	3	8
25	или иной	5	7
26	в то	10	7
27	но в	2	7
28	что в	4	6
29	том что	9	6
30	не в	4	6
31	же время	10	6
32	приводит к	4	6
33	не может	22	6
34	ни в	2	5
35	только в	5	5
36	тем самым	2	5
37	в самом	3	5
38	того что	3	5
39	той или	3	5
40	в нем	5	5
41	то что	13	5
42	или менее	4	5
43	в их	4	5
44	уже не	2	5
45	более или	4	5
46	место в	2	4
47	в этих	2	4
48	прежде всего	8	4
49	к тому	7	4
50	и как	3	4
51	в другом	3	4
52	для него	6	4
53	еще не	3	4
54	он не	5	4
55	и тем	2	4
56	в своей	5	4
57	со стороны	4	4
58	отношения к	2	4
59	самим собой	12	4
60	и то	4	4
61	между тем	5	4
62	говорить о	3	4
63	и т.д	4	4
64	если бы	6	3
65	он должен	5	3
66	или иного	2	3
67	что он	6	3
68	и к	6	3
69	того или	2	3
70	к нему	2	3
71	не будет	7	3
72	таким образом	11	3
73	и состоит	2	3
74	как и	4	3
75	лишь в	3	3
76	и что	2	3
77	в единое	2	3
78	с точки	9	3
79	и для	6	3
80	в таком	2	3
81	их в	2	3
82	потому что	5	3
83	в данном	7	3
84	его в	4	3
85	в области	2	3
86	том и	2	2
87	сама по	2	2
88	в порядке	2	2
89	речь идет	2	2
90	и более	2	2
91	ни к	7	2
92	себя и	5	2
93	тому что	2	2
94	жизни в	5	2
95	в своем	6	2
96	по себе	2	2
97	что может	3	2
98	при условии	3	2
99	с самим	2	2
100	одна из	3	2
101	в значительной	3	2
102	несмотря на	3	2
103	во всех	5	2
104	и о	2	2
105	одной из	3	2
106	и потому	3	2
107	на почве	2	2
108	для себя	2	2
109	но она	2	2
110	при котором	3	2
111	а с	2	2
112	именно в	3	2
113	все эти	2	2
114	того чтобы	8	2
115	для того	6	2
116	из которых	5	2
117	и по	3	2
118	или в	3	2
119	так же	2	2
120	с ним	2	2
121	и на	5	2
122	культуры в	3	2
123	в силу	2	2
124	у него	2	2
125	в этой	4	2
126	отношении к	2	2
127	о том	7	2
128	из этого	3	2
