N	2gram	Vygotskiy__2	Problema
1	и в	15	30
2	в своей	4	22
3	то что	20	18
4	не только	15	18
5	том что	27	17
6	в этом	19	17
7	и даже	5	14
8	но и	10	13
9	таким образом	14	13
10	потому что	7	13
11	в том	33	12
12	в его	2	12
13	и не	7	12
14	также и	2	12
15	о том	9	12
16	в своем	9	11
17	у него	2	11
18	для нас	4	10
19	точки зрения	26	10
20	в этой	6	10
21	все же	4	9
22	который в	4	9
23	сказать что	6	9
24	но в	6	9
25	и вообще	2	9
26	только в	4	9
27	и все	3	9
28	вовсе не	6	8
29	с точки	18	8
30	никогда не	8	7
31	что он	12	7
32	как и	6	7
33	связи с	9	7
34	но не	3	7
35	может быть	9	7
36	вместе с	6	7
37	так и	8	7
38	в связи	6	7
39	мы находим	6	7
40	не в	8	7
41	в результате	3	7
42	с другой	6	6
43	прежде всего	4	6
44	можно сказать	2	6
45	и как	2	6
46	несмотря на	4	6
47	и для	2	6
48	как бы	7	6
49	что и	2	6
50	и что	8	6
51	а в	4	6
52	и его	4	6
53	при помощи	4	6
54	так как	4	6
55	нисколько не	2	5
56	что в	14	5
57	что у	3	5
58	в которой	4	5
59	в силу	2	5
60	так же	4	5
61	в самом	11	5
62	и их	5	5
63	для себя	3	5
64	не может	9	5
65	а не	3	5
66	как раз	4	5
67	того как	4	5
68	и с	4	5
69	мы можем	10	5
70	в частности	6	4
71	отнюдь не	2	4
72	тогда когда	5	4
73	человека и	3	4
74	ни в	2	4
75	об этом	3	4
76	но все	2	4
77	при этом	3	4
78	того же	3	4
79	было бы	10	4
80	и сам	3	4
81	в качестве	4	4
82	а с	4	4
83	и к	6	4
84	или в	3	4
85	нас в	2	4
86	в себе	2	4
87	едва ли	7	4
88	в противоположность	2	3
89	в самой	3	3
90	он сам	3	3
91	все время	3	3
92	именно в	2	3
93	в отношении	6	3
94	что его	4	3
95	в начале	4	3
96	что они	3	3
97	тот же	7	3
98	смысле слова	5	3
99	указывает на	2	3
100	только тогда	2	3
101	одной стороны	7	3
102	для того	10	3
103	и самого	2	3
104	он не	7	3
105	а также	2	3
106	и тем	2	3
107	с одной	7	3
108	того что	17	3
109	в других	2	3
110	от этого	2	3
111	он в	3	3
112	в другом	2	3
113	и другое	2	3
114	этом смысле	2	3
115	с ним	3	3
116	в одном	2	3
117	видит в	2	3
118	в виду	6	3
119	только для	3	2
120	не могут	2	2
121	мы будем	3	2
122	и более	2	2
123	уже и	2	2
124	по этому	6	2
125	в них	4	2
126	том числе	3	2
127	хотя бы	4	2
128	как в	4	2
129	это не	5	2
130	с этой	2	2
131	уже в	5	2
132	за то	2	2
133	представление о	5	2
134	к этому	4	2
135	по себе	7	2
136	со всей	4	2
137	что именно	3	2
138	на то	6	2
139	к тому	7	2
140	то же	5	2
141	как мы	6	2
142	без всякого	2	2
143	раз в	2	2
144	по существу	5	2
145	из всех	2	2
146	что здесь	2	2
147	с такой	2	2
148	и другой	2	2
149	и человека	3	2
150	по поводу	4	2
151	бы с	3	2
152	в данном	3	2
153	мы имеем	3	2
154	образом как	2	2
155	в заключение	3	2
156	но для	2	2
157	всяком случае	6	2
158	в котором	2	2
159	отношению к	5	2
160	из них	3	2
161	в первой	2	2
162	когда он	3	2
163	наряду с	2	2
164	и до	3	2
165	ее в	2	2
166	все что	5	2
167	данном случае	3	2
168	и речи	13	2
169	и тогда	2	2
170	по отношению	6	2
171	этому поводу	3	2
172	и только	3	2
173	до всякого	2	2
174	все эти	3	2
175	или к	2	2
176	с помощью	5	2
177	мы не	10	2
178	они не	3	2
179	самом деле	6	2
180	он говорит	3	2
181	того чтобы	12	2
182	можно было	5	2
183	во всяком	7	2
184	больше чем	2	2
185	тем что	2	2
186	по своей	6	2
187	из тех	3	2
188	мира и	2	2
189	ничего не	3	2
190	не то	2	2
