N	2gram	Voloshinov_1	UchenyiS
1	и в	13	14
2	формальный метод	2	11
3	а не	2	10
4	не только	6	10
5	и не	8	8
6	прежде всего	9	8
7	то что	6	7
8	в этом	2	7
9	не может	8	7
10	в искусстве	3	6
11	может быть	8	6
12	эстетического объекта	5	6
13	хотя бы	5	5
14	художественное произведение	2	5
15	все это	4	5
16	то же	4	5
17	стилистических приемов	6	5
18	но и	3	4
19	в их	3	4
20	с другой	2	4
21	но в	4	3
22	как и	3	3
23	и то	3	3
24	все же	5	3
25	истории литературы	2	3
26	в своей	4	3
27	другой стороны	2	3
28	для него	2	3
29	вряд ли	3	3
30	не как	3	3
31	было бы	4	3
32	и т.д	5	3
33	в области	2	3
34	к сожалению	2	3
35	том что	2	2
36	в том	2	2
37	художественного произведения	5	2
38	мы не	4	2
39	не в	3	2
40	и для	3	2
41	не столько	3	2
42	если бы	2	2
43	только в	6	2
44	тем что	2	2
45	в шкловского	2	2
46	материала и	3	2
47	могут быть	2	2
48	вопроса о	4	2
49	в себе	3	2
50	в самом	2	2
51	художественных произведений	2	2
52	превращается в	3	2
53	самом деле	3	2
54	а как	2	2
55	и является	2	2
56	в его	7	2
57	между тем	2	2
58	таким образом	6	2
