N	2gram	Potebnia_M_2	PoTuStor
1	может быть	23	17
2	и в	24	16
3	прежде всего	7	9
4	таким образом	11	9
5	и проч	10	9
6	в этом	8	9
7	мы можем	12	9
8	и только	6	9
9	и его	2	8
10	не может	12	8
11	с его	2	7
12	в сознание	10	7
13	сказать что	2	7
14	не только	15	7
15	и это	2	6
16	самом деле	2	6
17	для него	10	6
18	при этом	13	6
19	только для	5	5
20	все эти	2	5
21	что такое	2	5
22	в чем	7	5
23	сознание и	4	5
24	еще не	4	5
25	как бы	9	5
26	с самого	2	4
27	самого начала	2	4
28	в нем	9	4
29	и их	5	4
30	но и	9	4
31	так и	5	4
32	все это	2	4
33	хотя бы	2	4
34	и все	3	4
35	так как	10	4
36	и не	19	4
37	на самом	2	4
38	а потому	5	4
39	но мы	3	4
40	с ними	3	4
41	и на	8	4
42	все что	3	4
43	и может	3	4
44	только в	11	4
45	его в	3	4
46	но в	4	4
47	в его	2	4
48	во время	4	3
49	на две	2	3
50	мы знаем	2	3
51	в этих	3	3
52	что в	16	3
53	и есть	2	3
54	во всех	7	3
55	могут быть	8	3
56	вместе с	11	3
57	сих пор	4	3
58	отношения к	2	3
59	в одном	6	3
60	этом смысле	2	3
61	те же	3	3
62	для сознания	2	3
63	и притом	3	3
64	крайней мере	5	3
65	в том	18	3
66	а в	8	3
67	том что	8	3
68	и как	6	3
69	с другими	5	3
70	то что	20	3
71	их в	2	3
72	на этом	2	3
73	по крайней	5	3
74	две группы	2	3
75	только как	6	3
76	в общем	2	3
77	если б	5	3
78	представлений и	3	3
79	как это	2	3
80	во всяком	7	3
81	и потому	2	3
82	до сих	4	3
83	между ними	2	3
84	всяком случае	7	3
85	не менее	5	2
86	один из	2	2
87	не могут	7	2
88	и чувств	2	2
89	что и	11	2
90	не есть	6	2
91	ни было	3	2
92	в душе	23	2
93	как не	3	2
94	никогда не	4	2
95	что не	5	2
96	в них	5	2
97	если мы	3	2
98	находится в	3	2
99	того же	14	2
100	оно не	3	2
101	из этих	4	2
102	с этим	7	2
103	в жизни	2	2
104	то же	12	2
105	с нею	2	2
106	быть может	7	2
107	что оно	4	2
108	к этому	2	2
109	таким путем	4	2
110	и других	2	2
111	что он	4	2
112	мы не	11	2
113	в одно	8	2
114	что на	3	2
115	что мы	11	2
116	у него	2	2
117	и по	2	2
118	и для	3	2
119	нам кажется	4	2
120	для нас	31	2
121	все остальные	5	2
122	как и	7	2
123	они не	4	2
124	мы видим	2	2
125	так же	2	2
126	но это	3	2
127	есть в	2	2
128	это последнее	4	2
129	совсем не	2	2
130	не на	2	2
131	чувства и	4	2
132	между собою	7	2
133	в каком	3	2
134	не можем	6	2
135	существует только	2	2
136	и вообще	3	2
137	было бы	13	2
138	что это	3	2
139	кажется что	3	2
140	связанные с	2	2
141	о том	5	2
142	в самом	4	2
143	за пределы	2	2
144	к другим	3	2
145	с ним	5	2
146	можно назвать	2	2
147	для меня	4	2
148	себя и	2	2
