N	2gram	Losev_Vlad_1	KFilosof
1	может быть	6	43
2	в его	12	39
3	в нем	4	31
4	не может	6	27
5	и не	17	26
6	и в	31	22
7	в котором	6	21
8	в себе	4	21
9	для меня	4	20
10	и его	7	17
11	только в	9	16
12	точки зрения	2	13
13	в этом	14	13
14	ни в	2	12
15	для него	7	12
16	но не	3	12
17	и это	2	12
18	все эти	3	11
19	в своей	4	11
20	не в	5	11
21	к нему	4	11
22	в своем	4	10
23	все это	5	10
24	в целом	3	9
25	но и	19	9
26	и все	4	9
27	для нее	2	9
28	и для	2	9
29	не было	5	8
30	лишь в	2	8
31	было бы	2	8
32	жизни и	5	8
33	со стороны	2	8
34	и здесь	3	7
35	во всем	4	7
36	вовсе не	5	7
37	конечно не	2	7
38	что и	5	7
39	то что	18	7
40	себя в	4	7
41	я не	4	6
42	и я	2	6
43	в том	11	6
44	но это	3	6
45	отношение к	3	6
46	и действительно	3	6
47	отнюдь не	3	6
48	этот момент	2	6
49	совершенно не	2	6
50	он не	10	6
51	уже не	3	6
52	никогда не	9	5
53	хотя бы	2	5
54	то же	6	5
55	но как	5	5
56	с ним	5	5
57	но в	12	5
58	как и	4	5
59	что я	2	5
60	не только	24	5
61	для себя	2	5
62	все же	3	5
63	место в	2	4
64	что в	14	4
65	время и	2	4
66	для нас	4	4
67	здесь мы	3	4
68	при этом	2	4
69	не по	2	4
70	чем не	2	4
71	в своих	5	4
72	с ними	2	4
73	нисколько не	2	4
74	том что	14	4
75	о нем	7	4
76	а в	9	4
77	тем самым	2	4
78	в каком	2	4
79	в чем	2	4
80	во мне	2	3
81	и весь	2	3
82	не менее	2	3
83	из его	4	3
84	того что	2	3
85	где он	2	3
86	и на	3	3
87	в то	8	3
88	о том	11	3
89	и ни	2	3
90	этом смысле	4	3
91	ясно что	2	3
92	от него	2	3
93	по своему	3	3
94	еще не	2	3
95	нет и	2	3
96	для того	2	3
97	что этот	3	3
98	тем что	2	3
99	в момент	2	3
100	здесь не	3	3
101	ничего не	3	3
102	а с	5	2
103	философии в	3	2
104	его к	2	2
105	ему в	2	2
106	тем не	2	2
107	и как	4	2
108	совсем не	4	2
109	же время	4	2
110	и мы	2	2
111	его жизни	6	2
112	нее в	2	2
113	вся эта	3	2
114	как к	2	2
115	и других	2	2
116	на первом	2	2
117	не из	2	2
118	философии но	2	2
119	а по	2	2
120	потому что	11	2
121	он и	6	2
122	к себе	2	2
123	а это	2	2
124	с его	11	2
125	и то	10	2
126	с тем	2	2
127	раз и	3	2
128	в жизни	3	2
129	к этому	6	2
130	что он	12	2
131	в качестве	6	2
132	тот же	3	2
133	и тот	2	2
134	в это	2	2
135	кажется что	2	2
136	этот факт	2	2
137	и потому	6	2
138	но этот	3	2
139	дело не	2	2
140	так и	6	2
141	как в	3	2
142	в виде	3	2
143	если не	3	2
144	это и	2	2
145	того чтобы	2	2
146	жизнь и	3	2
147	это можно	3	2
148	всей его	2	2
149	и просто	3	2
150	но я	3	2
151	в этой	4	2
152	один и	2	2
153	которой он	5	2
154	его на	2	2
155	дело в	4	2
156	едва ли	3	2
157	же с	11	2
