N	2gram	Tiupa_Disk_1	Sovremen
1	не может	9	17
2	точки зрения	3	12
3	может быть	17	12
4	таким образом	3	11
5	в каждом	2	8
6	в этом	15	7
7	и в	16	7
8	и не	11	6
9	как и	16	6
10	что же	2	5
11	прежде всего	11	5
12	как бы	5	4
13	в целом	4	4
14	это не	3	4
15	а в	5	4
16	не только	28	4
17	в том	23	4
18	из них	3	4
19	уже в	2	3
20	все же	3	3
21	отнюдь не	8	3
22	между собой	2	3
23	отличается от	2	3
24	то же	7	3
25	в нем	9	3
26	а не	22	3
27	и к	4	3
28	из двух	2	3
29	не в	7	3
30	в этой	2	3
31	еще не	14	3
32	при этом	13	3
33	и т.д	4	3
34	в одном	2	3
35	и все	2	3
36	в первом	3	3
37	в себе	7	3
38	но в	8	3
39	и потому	3	3
40	так сказать	2	2
41	не менее	2	2
42	и есть	2	2
43	приводит к	2	2
44	и во	2	2
45	в отличие	5	2
46	с одной	9	2
47	как мы	2	2
48	уже не	4	2
49	в свою	3	2
50	или иной	5	2
51	и что	2	2
52	роль в	7	2
53	и даже	3	2
54	и по	2	2
55	тот или	2	2
56	во всяком	2	2
57	свою очередь	3	2
58	на этом	2	2
59	времени и	3	2
60	могут быть	4	2
61	с этим	3	2
62	что в	4	2
63	же самое	2	2
64	на его	4	2
65	такого рода	4	2
66	в самом	3	2
67	отличие от	5	2
68	в науке	2	2
69	в его	7	2
