N	3gram	Vygotskiy__3	Psycholo
1	для того чтобы	7	19
2	на то что	3	16
3	в том что	17	14
4	с одной стороны	5	12
5	в зависимости от	5	6
6	о том что	3	6
7	заключается в том	7	6
8	так же точно	3	5
9	с другой стороны	3	5
10	по сравнению с	3	4
11	заключает в себе	2	4
12	мы могли бы	7	4
13	а с другой	3	4
14	тот факт что	5	4
15	таким образом что	2	3
16	в этом отношении	3	3
17	с самого начала	6	3
18	вместе с тем	10	3
19	и то что	2	3
20	можно было бы	5	3
21	с тем что	3	3
22	друг с другом	5	3
23	бы сказать что	3	2
24	сами по себе	3	2
25	одного и того	4	2
26	могли бы сказать	3	2
27	в отличие от	6	2
28	и того же	4	2
29	той или иной	2	2
30	так же как	6	2
31	состоит в том	3	2
32	на первый план	2	2
33	то что мы	2	2
34	то что в	2	2
35	мы никогда не	2	2
36	и той же	2	2
37	не может быть	2	2
38	имеет дело с	2	2
39	само по себе	2	2
40	является то что	4	2
41	одной и той	2	2
