N	2gram	Medvedev_U_1	FransuaR
1	и в	14	65
2	и не	8	22
3	в том	2	16
4	в этом	7	15
5	но в	3	14
6	прежде всего	8	11
7	не только	10	10
8	но и	4	10
9	в его	2	9
10	все это	5	9
11	всех этих	2	8
12	формы и	2	7
13	в области	3	7
14	только в	2	7
15	том что	2	6
16	все же	3	6
17	может быть	6	6
18	и у	2	6
19	с его	2	5
20	в частности	3	5
21	превращается в	2	5
22	для него	3	5
23	в своей	3	5
24	меньшей степени	2	5
25	как и	3	5
26	между тем	2	5
27	литературы и	2	5
28	это уже	2	4
29	не в	2	4
30	в этой	4	4
31	в самом	2	4
32	сих пор	2	4
33	до сих	2	4
34	в их	4	4
35	не могут	2	3
36	перестает быть	5	3
37	это не	3	3
38	что он	2	3
39	но это	2	3
40	мы и	2	3
41	самом деле	2	3
42	то что	7	3
43	как раз	2	3
44	не может	7	3
45	этом отношении	2	3
46	в системе	2	3
47	с другой	4	3
48	даже и	2	3
49	в себе	2	3
50	в искусстве	6	3
51	ничего не	2	3
52	и с	2	3
53	но не	2	2
54	а его	2	2
55	и для	2	2
56	в некоторых	2	2
57	при таком	2	2
58	что мы	2	2
59	одним из	2	2
60	могут быть	2	2
61	это было	2	2
