N	3gram	Trubetskoy_1	Psycholo
1	в том что	7	17
2	для того чтобы	6	13
3	с точки зрения	9	10
4	не может быть	4	8
5	на то что	4	6
6	до сих пор	5	5
7	на самом деле	6	5
8	только в том	2	4
9	в данном случае	3	4
10	о том что	2	4
11	в том случае	4	4
12	том случае если	3	4
13	можно было бы	3	4
14	в конце концов	3	3
15	точно так же	2	3
16	и не может	3	2
17	то же время	10	2
18	к тому что	2	2
19	бы то ни	4	2
20	и в том	2	2
21	во всяком случае	6	2
22	в то же	10	2
23	и то что	3	2
24	что он не	2	2
25	в том и	2	2
26	того или иного	2	2
