N	2gram	Propp_Isto_4	NovoeSre
1	а не	6	17
2	не может	6	16
3	и в	26	16
4	и не	9	11
5	и есть	2	10
6	что в	14	9
7	он не	7	8
8	в том	3	8
9	средние века	2	7
10	как и	7	7
11	в этом	7	7
12	может быть	14	7
13	никогда не	2	6
14	не в	5	6
15	лишь в	2	6
16	но это	3	6
17	ни в	2	6
18	в нем	2	5
19	все это	2	5
20	не только	15	5
21	не менее	2	4
22	то что	16	4
23	это не	5	4
24	и все	2	4
25	не имеет	3	4
26	потому что	6	4
27	о том	4	4
28	но и	12	3
29	не есть	2	3
30	в средние	2	3
31	должна быть	2	3
32	в своей	4	3
33	в истории	2	3
34	с другой	4	3
35	вопрос о	4	3
36	и пр	11	3
37	с тем	2	3
38	конечно не	2	3
39	как в	7	3
40	она не	3	3
41	еще не	6	3
42	наряду с	3	3
43	сказать что	2	3
44	к ним	2	3
45	себя в	2	2
46	у него	5	2
47	вместе с	6	2
48	так и	10	2
49	что она	3	2
50	другой стороны	4	2
51	формы и	2	2
52	а в	8	2
53	все эти	3	2
54	в одну	2	2
55	уже не	5	2
56	и даже	4	2
57	хотя бы	2	2
58	но не	5	2
59	так же	18	2
60	по существу	3	2
61	это и	5	2
62	том что	3	2
63	связана с	2	2
64	есть в	2	2
65	же как	13	2
66	одна из	2	2
67	и с	5	2
68	и что	5	2
69	могут быть	6	2
70	с этим	2	2
71	и на	2	2
72	не к	2	2
73	в себе	2	2
74	такого рода	2	2
75	как это	3	2
76	но для	2	2
77	в религии	3	2
78	хотя и	2	2
79	но в	5	2
