N	3gram	Medvedev_F_3	Problemy
1	в то же	7	10
2	то же время	7	10
3	на самом деле	12	9
4	по отношению к	3	6
5	в пределах одного	2	5
6	во всяком случае	6	4
7	в этом смысле	2	3
8	то ни было	4	3
9	в конце концов	2	3
10	с другой стороны	5	3
11	бы то ни	4	3
12	в высшей степени	2	3
13	не может быть	14	3
14	смысле этого слова	2	2
15	мы увидим что	2	2
16	может войти в	3	2
17	так и в	2	2
18	с точки зрения	14	2
19	и в то	2	2
20	в большинстве случаев	4	2
21	слова и его	2	2
22	в отличие от	2	2
23	и не может	4	2
24	именно потому что	2	2
25	как и все	2	2
26	как мы знаем	4	2
27	в том что	3	2
28	подобно тому как	4	2
