N	3gram	Medvedev_F_3	Problema
1	и т д	6	13
2	тем не менее	2	10
3	в том что	3	9
4	в данном случае	4	7
5	то же самое	3	7
6	в связи с	4	7
7	сами по себе	2	6
8	во всяком случае	6	6
9	с другой стороны	5	5
10	не может быть	14	5
11	в то же	7	4
12	бы то ни	4	4
13	на самом же	2	4
14	самом же деле	2	4
15	потому что он	3	4
16	то ни было	4	3
17	дело в том	2	3
18	в конце концов	2	3
19	именно потому что	2	3
20	то или иное	2	2
21	а вовсе не	4	2
22	с точки зрения	14	2
23	вовсе не является	3	2
24	вовсе не в	2	2
25	в отличие от	2	2
26	как мы видели	2	2
27	только то что	2	2
28	дело не в	2	2
29	о том как	2	2
30	на самом деле	12	2
31	ровно ничего не	2	2
