N	3gram	Bakhtin_Pr_1	Formalny
1	с точки зрения	6	13
2	в то же	3	8
3	в его целом	5	8
4	то же время	3	8
5	на самом деле	3	6
6	не может быть	11	5
7	с одной стороны	3	4
8	и т п	13	4
9	так и в	2	4
10	по отношению к	19	4
11	в лучшем случае	2	3
12	бы то ни	3	3
13	в художественном произведении	4	2
14	произведение в его	3	2
15	художественном произведении как	2	2
16	как мы увидим	3	2
17	русский формальный метод	2	2
18	и не может	2	2
19	в строгом смысле	2	2
20	в большинстве случаев	5	2
21	и в частности	2	2
22	в применении к	3	2
23	того или иного	2	2
