N	3gram	Vygotskiy__7	Narrotol
1	в том что	13	8
2	в данном случае	5	6
3	в отличие от	2	5
4	по отношению к	5	5
5	с одной стороны	5	5
6	состоит в том	3	4
7	тем не менее	3	4
8	о том что	4	4
9	можно сказать что	3	3
10	в конечном счете	2	3
11	в известном смысле	2	3
12	в этом отношении	3	3
13	к тому что	6	3
14	в той мере	2	2
15	мере в какой	2	2
16	по своей природе	4	2
17	с точки зрения	21	2
18	не может быть	4	2
19	и тем самым	4	2
20	той мере в	2	2
21	не только не	9	2
22	на самом деле	2	2
23	точно так же	2	2
24	так же как	7	2
