N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	41
2	то есть	46	24
3	во всех	11	17
4	таким образом	10	17
5	в нем	15	16
6	и с	17	16
7	и его	16	13
8	но и	9	13
9	как мы	7	12
10	в этом	15	12
11	все это	3	11
12	все эти	5	11
13	прежде всего	13	10
14	в самом	7	10
15	не только	9	10
16	и др	8	10
17	то что	8	10
18	здесь в	2	9
19	кроме того	3	9
20	и на	3	9
21	и все	3	9
22	о том	4	9
23	никогда не	5	8
24	но в	4	8
25	в них	5	7
26	вовсе не	2	7
27	том что	3	7
28	как бы	22	7
29	в особенности	2	7
30	как и	7	7
31	что в	7	7
32	в его	43	7
33	связаны с	2	7
34	что он	2	6
35	например в	3	6
36	с помощью	7	6
37	или в	2	6
38	также и	3	6
39	сказать что	4	6
40	в то	4	6
41	то же	5	5
42	с его	2	5
43	в ее	4	5
44	же время	3	5
45	и он	2	5
46	так и	5	5
47	в своем	5	5
48	рядом с	5	5
49	большинстве случаев	5	5
50	и что	2	5
51	тем что	2	5
52	в себе	4	5
53	во всем	2	5
54	все то	3	5
55	там где	6	5
56	что это	2	5
57	с другой	7	4
58	но они	4	4
59	и от	3	4
60	у нас	2	4
61	и как	8	4
62	не в	7	4
63	и вообще	2	4
64	все что	3	4
65	в большинстве	5	4
66	всех его	4	4
67	одной стороны	3	4
68	в ней	4	4
69	в котором	2	4
70	все же	6	4
71	не может	27	4
72	с одной	3	4
73	как в	4	4
74	самом деле	6	4
75	того чтобы	2	4
76	и наконец	6	4
77	и даже	3	4
78	а в	6	4
79	конечно и	4	4
80	более того	4	4
81	в основе	5	4
82	в другом	2	4
83	о котором	2	4
84	с ним	5	4
85	мы увидим	3	3
86	первый план	2	3
87	на первый	2	3
88	одной из	3	3
89	мы будем	3	3
90	но это	3	3
91	с миром	4	3
92	было бы	8	3
93	в начале	2	3
94	конечно не	5	3
95	в искусстве	12	3
96	в него	2	3
97	не остается	2	3
98	и для	11	3
99	этом отношении	2	3
100	при этом	5	3
101	и не	42	3
102	они не	3	3
103	изобразительных искусствах	2	3
104	того что	2	3
105	что не	4	3
106	между ними	4	3
107	к нему	10	3
108	есть только	2	3
109	на границах	5	3
110	с другими	3	3
111	в данном	4	3
112	в изобразительных	2	3
113	в плане	7	3
114	только в	13	3
115	в чем	2	3
116	не могут	2	2
117	в частности	2	2
118	в этих	2	2
119	все они	5	2
120	и во	2	2
121	что все	2	2
122	в корне	2	2
123	в том	8	2
124	начало и	3	2
125	как его	3	2
126	в дальнейшем	3	2
127	связи с	2	2
128	от него	3	2
129	на этом	2	2
130	но не	12	2
131	здесь же	2	2
132	в значительной	2	2
133	должна быть	4	2
134	со всеми	3	2
135	может быть	26	2
136	за пределы	12	2
137	в своей	7	2
138	только его	3	2
139	хотя и	3	2
140	он не	3	2
141	и потому	4	2
142	в таких	2	2
143	должен быть	2	2
144	себя в	2	2
145	не будем	3	2
146	природы и	3	2
147	данном случае	4	2
148	в форме	4	2
149	другой стороны	4	2
150	и прежде	5	2
151	не на	5	2
152	и другие	2	2
153	которых мы	4	2
154	как это	2	2
155	но с	3	2
156	в истории	2	2
157	лишь в	2	2
158	а не	5	2
159	и у	2	2
160	дает нам	2	2
161	с точки	6	2
162	и конец	2	2
163	и те	2	2
164	от всех	4	2
165	к себе	2	2
166	между тем	7	2
167	точки зрения	8	2
168	говорить о	3	2
169	и этим	6	2
170	но здесь	3	2
171	но конечно	4	2
172	отметить что	7	2
173	в области	11	2
174	в романе	4	2
