N	2gram	Savitsky_P_1	DiskursI
1	в качестве	9	34
2	не только	17	28
3	в том	9	23
4	а не	2	22
5	том что	4	19
6	может быть	5	17
7	и в	14	16
8	в этом	10	15
9	но и	6	14
10	прежде всего	3	11
11	но не	3	11
12	и не	12	11
13	с другой	5	10
14	в частности	2	9
15	в нем	3	9
16	одной стороны	3	9
17	не может	4	9
18	с одной	3	9
19	а также	4	8
20	отнюдь не	2	8
21	но в	9	8
22	в его	2	7
23	со стороны	2	7
24	то же	9	7
25	не было	2	7
26	в себе	3	7
27	только в	7	7
28	не в	5	7
29	в своем	4	6
30	и как	3	6
31	в силу	2	5
32	как бы	4	5
33	в котором	4	5
34	то что	4	5
35	во всех	2	5
36	а в	4	5
37	сводится к	3	5
38	что в	4	4
39	в них	2	4
40	и к	4	4
41	же время	7	4
42	и о	5	4
43	в которых	5	4
44	потому что	3	4
45	между тем	3	4
46	могут быть	3	4
47	столь же	3	3
48	это не	3	3
49	по себе	4	3
50	в ее	2	3
51	с этим	2	3
52	хотя бы	8	3
53	из них	2	3
54	именно в	2	3
55	заключается в	3	3
56	того что	2	3
57	точки зрения	3	3
58	в то	7	3
59	и потому	4	3
60	не менее	2	2
61	и есть	2	2
62	и без	3	2
63	том числе	2	2
64	стороны и	2	2
65	в пределах	8	2
66	в значительной	2	2
67	есть в	2	2
68	было в	2	2
69	в начале	2	2
70	в ряду	2	2
71	хотя и	3	2
72	сами по	3	2
73	например в	2	2
74	и тем	2	2
75	в е	2	2
76	отношения к	2	2
77	может и	2	2
78	более чем	2	2
79	ей в	3	2
80	каждый в	2	2
