N	2gram	Vinokur_St_1	KFilosof
1	может быть	15	43
2	в его	9	39
3	в нем	5	31
4	не может	8	27
5	и не	16	26
6	по отношению	3	25
7	и в	44	22
8	в котором	5	21
9	отношению к	3	21
10	в себе	2	21
11	в ее	4	17
12	а не	16	17
13	и его	8	17
14	только в	10	16
15	точки зрения	11	13
16	в этом	21	13
17	ни в	3	12
18	для него	6	12
19	но не	3	12
20	и это	2	12
21	все эти	5	11
22	в своей	6	11
23	не в	12	11
24	к нему	2	11
25	в своем	2	10
26	это не	8	10
27	все это	5	10
28	во всех	8	10
29	с точки	8	10
30	в целом	5	9
31	но и	10	9
32	как бы	4	9
33	и все	2	9
34	и для	3	9
35	не было	4	8
36	лишь в	3	8
37	если бы	9	8
38	было бы	17	8
39	жизни и	5	8
40	со стороны	6	8
41	вовсе не	19	7
42	конечно не	2	7
43	должен быть	3	7
44	что и	6	7
45	то что	18	7
46	я не	7	6
47	и я	3	6
48	в том	36	6
49	но это	6	6
50	отношение к	2	6
51	и только	3	6
52	совершенно не	5	6
53	и их	2	6
54	он не	2	6
55	не значит	3	6
56	никогда не	5	5
57	хотя бы	6	5
58	то же	5	5
59	но все	4	5
60	именно в	6	5
61	не имеет	4	5
62	в основе	3	5
63	но ведь	8	5
64	его в	2	5
65	но в	10	5
66	не знает	2	5
67	как и	9	5
68	не только	18	5
69	для себя	3	5
70	все же	8	5
71	мы имеем	2	5
72	там где	5	5
73	что в	30	4
74	для нас	7	4
75	при этом	2	4
76	места в	2	4
77	не по	3	4
78	в своих	2	4
79	между тем	3	4
80	могло бы	2	4
81	нисколько не	2	4
82	быть в	2	4
83	том что	29	4
84	а в	17	4
85	тем самым	2	4
86	в каком	3	4
87	в чем	3	4
88	бы и	4	3
89	должна быть	3	3
90	что это	4	3
91	не менее	5	3
92	в каждом	3	3
93	и тем	3	3
94	того что	9	3
95	в ней	3	3
96	в то	9	3
97	того или	4	3
98	о том	17	3
99	мы не	2	3
100	всех этих	2	3
101	ясно что	10	3
102	или иного	4	3
103	меня не	2	3
104	еще не	3	3
105	быть и	2	3
106	бы не	2	3
107	на самом	6	3
108	самом деле	11	3
109	для того	10	3
110	только с	2	3
111	что не	3	3
112	что этот	2	3
113	тем что	5	3
114	могут быть	5	3
115	в другом	3	3
116	ничего не	2	3
117	может не	2	2
118	или иное	3	2
119	а с	3	2
120	можно ли	4	2
121	я уже	3	2
122	прежде всего	7	2
123	вопрос о	4	2
124	тем не	2	2
125	совсем не	2	2
126	же время	4	2
127	но для	2	2
128	его жизни	3	2
129	знает и	2	2
130	тому что	3	2
131	для этого	2	2
132	как к	3	2
133	потому что	6	2
134	говорить о	2	2
135	в сознании	2	2
136	а как	2	2
137	и то	5	2
138	что эта	2	2
139	думать что	2	2
140	дело когда	2	2
141	что он	10	2
142	в качестве	4	2
143	со всеми	2	2
144	или иным	3	2
145	кажется что	3	2
146	и потому	2	2
147	этого слова	2	2
148	дело не	4	2
149	так и	9	2
150	как в	13	2
151	вытекает из	2	2
152	дело с	2	2
153	в виде	3	2
154	если не	2	2
155	еще более	4	2
156	это и	4	2
157	того чтобы	11	2
158	то или	3	2
159	в данном	14	2
160	это можно	3	2
161	от этого	2	2
162	но я	4	2
163	в этой	11	2
164	ничего общего	3	2
165	дело в	6	2
166	в области	14	2
