N	2gram	Vygotskiy__5	VelikijI
1	и не	12	20
2	и в	16	16
3	то что	26	9
4	так как	16	9
5	еще не	4	8
6	в истории	2	8
7	что они	5	7
8	и потому	2	7
9	а не	10	7
10	не есть	4	6
11	как бы	5	5
12	но и	6	5
13	все это	2	5
14	того что	16	5
15	и есть	7	4
16	что все	6	4
17	что он	25	4
18	в нем	7	4
19	как и	8	4
20	все что	2	4
21	что мы	4	4
22	в котором	2	4
23	так и	7	4
24	потому что	21	4
25	в этом	25	4
26	в ней	2	4
27	говорить о	3	4
28	в его	11	4
29	должна быть	5	3
30	что в	16	3
31	в этих	3	3
32	в них	2	3
33	в жизни	2	3
34	в том	18	3
35	не в	6	3
36	но это	3	3
37	что я	2	3
38	в вопросе	2	3
39	тот же	5	3
40	к тому	6	3
41	во всех	2	3
42	никогда не	5	3
43	то это	2	3
44	что и	3	3
45	жизни и	2	3
46	в своей	2	3
47	тому что	5	3
48	и что	12	3
49	не имеет	4	3
50	хотя бы	5	3
51	должно быть	8	3
52	их в	2	3
53	все эти	4	3
54	в чем	3	3
55	но в	6	3
56	не могут	4	2
57	до того	2	2
58	с тем	3	2
59	его и	3	2
60	это не	4	2
61	прежде всего	3	2
62	что было	2	2
63	том что	15	2
64	мы и	5	2
65	но не	10	2
66	это мы	2	2
67	для него	5	2
68	того чтобы	17	2
69	уже на	2	2
70	вместо того	3	2
71	вслед за	2	2
72	не только	16	2
73	но мы	5	2
74	не с	2	2
75	ее в	3	2
76	в старой	2	2
77	а с	2	2
78	почему в	2	2
79	все равно	2	2
80	тем что	5	2
81	в себя	3	2
82	мы не	3	2
83	вот почему	3	2
84	а в	3	2
85	с ним	5	2
86	чтобы сделать	2	2
87	можно было	5	2
88	и то	4	2
89	между тем	3	2
90	могут быть	4	2
91	только в	10	2
92	во всяком	2	2
93	которые не	2	2
