N	2gram	Vinokur_St_2	Problemy
1	и в	29	35
2	как бы	5	31
3	и не	9	27
4	что он	13	24
5	в его	13	21
6	но в	8	19
7	не может	2	18
8	как и	2	18
9	в нем	4	16
10	то же	2	15
11	но и	19	14
12	для него	4	14
13	может быть	2	14
14	все это	11	14
15	и его	6	14
16	в этом	21	14
17	что я	2	13
18	он не	9	13
19	прежде всего	5	12
20	и с	4	12
21	и к	4	12
22	в другом	4	12
23	в то	2	11
24	не в	4	10
25	самом деле	3	10
26	не только	19	10
27	то что	11	10
28	в отношении	2	9
29	на самом	3	9
30	ни одного	3	9
31	я не	7	8
32	самого начала	3	8
33	так и	9	8
34	с самого	3	8
35	о мире	2	8
36	потому что	9	8
37	все же	6	8
38	и сам	2	7
39	так же	3	7
40	точки зрения	5	7
41	с его	2	7
42	вовсе не	6	7
43	отношении к	3	7
44	там где	2	7
45	таким образом	10	7
46	что в	19	6
47	к тому	10	6
48	но это	3	6
49	что они	2	6
50	и что	6	6
51	у меня	3	6
52	в самом	7	6
53	что у	4	6
54	и на	6	6
55	в одном	6	6
56	но не	3	6
57	на меня	2	6
58	только в	2	6
59	в конце	2	5
60	в том	27	5
61	так что	3	5
62	и даже	3	5
63	во время	2	5
64	даже в	2	5
65	как в	3	5
66	к своему	2	5
67	в себе	2	5
68	и это	2	5
69	никогда не	3	4
70	с другой	4	4
71	но все	7	4
72	до конца	3	4
73	на его	2	4
74	всяком случае	3	4
75	где он	2	4
76	между тем	5	4
77	но он	3	4
78	в эту	3	4
79	его в	2	4
80	так как	2	4
81	как раз	8	4
82	в них	2	4
83	это слово	3	4
84	по себе	3	4
85	по своему	2	4
86	наконец в	3	4
87	еще в	2	4
88	нет и	2	4
89	в своей	7	4
90	в той	5	4
91	а не	5	4
92	во всяком	3	4
93	тем что	3	4
94	что это	3	4
95	то ни	2	3
96	ни было	2	3
97	тому же	3	3
98	о своей	2	3
99	в общем	3	3
100	в виду	7	3
101	если б	4	3
102	бы то	2	3
103	из них	3	3
104	другой стороны	3	3
105	в одной	2	3
106	все эти	2	3
107	не мог	3	3
108	того что	5	3
109	сказать что	2	3
110	в начале	3	3
111	в котором	7	3
112	с тем	7	3
113	эти слова	2	3
114	с этим	3	3
115	в ее	2	3
116	том что	27	3
117	было бы	5	3
118	что и	2	3
119	только что	2	3
120	а с	3	3
121	только с	2	3
122	ничего не	4	3
123	не менее	3	2
124	на вопрос	3	2
125	времени и	4	2
126	отрывок из	2	2
127	в роман	2	2
128	в этих	3	2
129	тому что	7	2
130	вообще не	3	2
131	с этой	2	2
132	вопрос о	6	2
133	что на	3	2
134	ни в	3	2
135	такое же	2	2
136	из его	2	2
137	обращает на	3	2
138	что с	2	2
139	при этом	2	2
140	например в	3	2
141	хотя и	4	2
142	на нее	3	2
143	в своем	9	2
144	и по	3	2
145	особенно в	2	2
146	в ней	7	2
147	о том	17	2
148	как он	2	2
149	а как	4	2
150	того времени	4	2
151	меня в	2	2
152	конечно в	2	2
153	материал для	3	2
154	а затем	2	2
155	раз в	2	2
156	должна была	2	2
157	кажется что	3	2
158	одной из	3	2
159	своего рода	5	2
160	вместе с	7	2
161	говорит о	2	2
162	в отличие	2	2
163	в речи	4	2
164	на этот	2	2
165	и он	3	2
166	и как	2	2
167	хотя бы	3	2
168	с точки	2	2
169	в которой	11	2
170	связан с	3	2
171	и вообще	2	2
172	еще до	4	2
173	отличие от	2	2
174	это было	2	2
