N	2gram	Tiupa_Disk_2	Otkroven
1	и в	16	19
2	но и	11	13
3	и не	15	13
4	в этом	16	12
5	а не	14	11
6	не в	3	11
7	человека в	4	11
8	может быть	16	11
9	не только	10	11
10	и все	3	10
11	в нем	7	10
12	никогда не	2	9
13	не было	3	9
14	потому что	4	9
15	прежде всего	7	9
16	он не	3	7
17	в его	3	7
18	все это	2	6
19	как и	16	6
20	то что	5	5
21	а в	2	5
22	отношение к	2	5
23	в том	8	5
24	для него	5	5
25	в этой	4	5
26	в творчестве	3	5
27	с его	6	4
28	и его	3	4
29	все эти	3	4
30	не может	9	4
31	что в	5	4
32	в этих	3	3
33	это не	3	3
34	что он	2	3
35	в своих	6	3
36	еще не	6	3
37	могут быть	3	3
38	и ее	3	3
39	в себе	19	3
40	в русской	3	3
41	о том	4	3
42	в записках	2	3
43	как бы	4	3
44	все же	6	2
45	что и	2	2
46	и для	2	2
47	так и	9	2
48	жизни в	3	2
49	в своем	5	2
50	что же	2	2
51	к этому	4	2
52	должно быть	2	2
53	том что	10	2
54	в другом	3	2
55	и на	5	2
56	и то	4	2
57	и с	2	2
58	одно из	4	2
59	момент в	2	2
60	образ человека	2	2
61	мысль о	3	2
62	его в	3	2
63	в своей	6	2
64	этом мире	2	2
65	о любви	2	2
66	но в	11	2
