N	2gram	Berdyaev_O_1	Problema
1	и в	19	30
2	в своей	2	22
3	то что	5	18
4	не только	11	18
5	том что	2	17
6	в этом	12	17
7	но и	13	13
8	потому что	9	13
9	в том	5	12
10	в его	7	12
11	и не	13	12
12	о том	3	12
13	в своем	2	11
14	у него	22	11
15	так что	2	11
16	в этой	5	10
17	на земле	4	9
18	все же	2	9
19	сказать что	2	9
20	но в	2	9
21	и все	10	9
22	хотя и	2	8
23	никогда не	9	7
24	что он	3	7
25	как и	6	7
26	может быть	11	7
27	так и	2	7
28	не в	11	7
29	прежде всего	9	6
30	и для	2	6
31	как бы	3	6
32	в нем	10	6
33	что и	2	6
34	а в	5	6
35	и его	4	6
36	и на	2	6
37	его в	2	6
38	так как	2	6
39	с тем	2	5
40	что в	4	5
41	что у	2	5
42	в которой	2	5
43	в самом	5	5
44	и о	2	5
45	не может	4	5
46	а не	11	5
47	и то	2	5
48	но он	7	5
49	и с	2	5
50	жизни в	2	4
51	человека и	10	4
52	все еще	2	4
53	было бы	3	4
54	свободы и	2	4
55	и к	2	4
56	и он	8	4
57	даже и	2	4
58	в себе	3	4
59	учение о	2	3
60	в самой	9	3
61	он сам	4	3
62	все в	4	3
63	в ее	2	3
64	что они	2	3
65	совсем не	2	3
66	еще не	3	3
67	для того	3	3
68	он не	7	3
69	в русской	3	3
70	только и	4	3
71	того что	3	3
72	и никогда	2	3
73	к нему	3	3
74	в других	2	3
75	он в	2	3
76	в другом	2	3
77	с ним	3	3
78	не могут	3	2
79	хотя бы	3	2
80	это не	3	2
81	уже в	2	2
82	не все	2	2
83	к этому	2	2
84	по себе	2	2
85	он был	8	2
86	него не	2	2
87	и нет	2	2
88	что не	4	2
89	когда он	3	2
90	ее в	2	2
91	все что	3	2
92	отношение к	5	2
93	человеческого духа	3	2
94	все эти	4	2
95	того чтобы	4	2
96	его не	2	2
97	за все	2	2
98	более всего	3	2
99	тем что	2	2
100	человека а	2	2
101	ничего не	2	2
102	человек и	4	2
