N	2gram	Berdyaev_O_1	Istorich
1	и в	19	24
2	что он	3	21
3	не только	11	21
4	т е	4	16
5	может быть	11	14
6	не может	4	14
7	в этих	3	13
8	что в	4	13
9	в этом	12	12
10	но и	13	11
11	это не	3	10
12	у него	22	10
13	том что	2	10
14	а в	5	10
15	не в	11	9
16	все же	2	9
17	о том	3	9
18	потому что	9	9
19	еще не	3	8
20	что и	2	8
21	все это	6	8
22	а не	11	8
23	так как	2	8
24	в том	5	7
25	то что	5	7
26	к нему	3	7
27	тем что	2	6
28	как и	6	6
29	в нем	10	6
30	он не	7	6
31	и все	10	6
32	того что	3	6
33	отношение к	5	5
34	так и	2	5
35	с ним	3	5
36	ничего не	2	5
37	в русской	3	5
38	но в	2	5
39	никогда не	9	4
40	что у	2	4
41	как бы	3	4
42	и не	13	4
43	не имеет	2	4
44	в других	2	4
45	уже в	2	3
46	с его	4	3
47	вопрос о	10	3
48	так что	2	3
49	что они	2	3
50	него и	4	3
51	его в	2	3
52	не все	2	3
53	когда он	3	3
54	ее в	2	3
55	и он	8	3
56	и его	4	3
57	хотя и	2	3
58	от него	7	3
59	и этим	2	3
60	на земле	4	2
61	и там	2	2
62	и от	3	2
63	к этому	2	2
64	прежде всего	9	2
65	не могут	3	2
66	их не	2	2
67	и ее	3	2
68	все в	4	2
69	в ее	2	2
70	из всего	2	2
71	и нет	2	2
72	не исчезает	3	2
73	было бы	3	2
74	в самом	5	2
75	и о	2	2
76	ни с	7	2
77	к ней	2	2
78	что не	4	2
79	в которой	2	2
80	его не	2	2
81	сказать что	2	2
82	он в	2	2
83	но он	7	2
84	и на	2	2
85	все эти	4	2
86	должен был	2	2
