N	2gram	Propp_Isto_3	OGranits
1	и в	22	13
2	и его	4	12
3	прежде всего	3	9
4	не может	4	8
5	и не	12	8
6	может быть	11	8
7	точки зрения	2	7
8	и пр	11	7
9	в его	3	7
10	таким образом	10	6
11	не только	14	6
12	то что	7	6
13	только в	4	6
14	мы должны	7	6
15	все же	5	5
16	то же	6	4
17	мы можем	6	4
18	было бы	3	4
19	но в	10	4
20	связана с	3	3
21	и уже	2	3
22	отношению к	2	3
23	что в	15	3
24	никогда не	3	3
25	но и	12	3
26	так и	2	3
27	по отношению	2	3
28	и все	3	3
29	в одном	2	3
30	превращается в	3	3
31	здесь мы	5	3
32	да и	2	3
33	как и	3	3
34	не в	4	3
35	и то	2	3
36	в пределах	4	3
37	поставить вопрос	2	3
38	ни один	2	3
39	с этим	8	3
40	и для	2	3
41	так как	7	3
42	не менее	5	2
43	и др	2	2
44	в нем	9	2
45	ее в	3	2
46	в целом	3	2
47	связанных с	2	2
48	данном случае	3	2
49	а не	6	2
50	в этот	2	2
51	другой стороны	7	2
52	с другой	7	2
53	в них	6	2
54	в связи	3	2
55	а в	6	2
56	с одной	2	2
57	в течение	6	2
58	все эти	4	2
59	вовсе не	2	2
60	роль в	2	2
61	в тех	2	2
62	к тому	3	2
63	и к	3	2
64	как в	2	2
65	если бы	6	2
66	в чем	3	2
67	не имеет	2	2
68	в том	9	2
69	что иное	3	2
70	так же	3	2
71	не мог	2	2
72	том что	8	2
73	мы видим	8	2
74	с ними	3	2
75	в данном	4	2
76	что они	8	2
77	в этом	17	2
78	тем что	4	2
79	между тем	2	2
80	могут быть	5	2
81	при этом	2	2
82	и ее	3	2
83	не что	3	2
84	в другом	2	2
85	одной стороны	2	2
86	мы уже	6	2
87	его на	2	2
88	нет ничего	2	2
89	там где	7	2
90	в ней	2	2
91	иное как	3	2
92	а также	2	2
