N	2gram	Tiupa_Vved_1	Dialekti
1	и не	12	30
2	может быть	18	20
3	и в	13	19
4	не только	20	19
5	по себе	2	18
6	а не	15	16
7	в себе	5	15
8	то что	6	14
9	в том	10	14
10	как бы	4	14
11	потому что	5	14
12	но и	19	12
13	то же	5	12
14	и все	4	12
15	как и	11	10
16	в нем	5	10
17	так и	8	10
18	том что	7	10
19	это не	6	10
20	стало быть	7	10
21	времени и	7	9
22	никогда не	4	9
23	не может	7	9
24	прежде всего	7	8
25	не в	6	8
26	в этом	21	8
27	в своей	5	8
28	но это	3	7
29	и к	2	7
30	что в	3	7
31	как будто	4	7
32	отнюдь не	7	6
33	в то	4	6
34	но не	5	6
35	того что	6	6
36	жизни и	7	6
37	должна быть	2	5
38	с другой	5	5
39	же время	3	5
40	в силу	2	5
41	по своему	2	5
42	можно сказать	4	5
43	в самом	2	5
44	и времени	2	5
45	что и	2	5
46	как раз	2	5
47	все равно	2	5
48	и его	5	5
49	говорить о	2	5
50	только в	6	5
51	о том	5	5
52	и с	2	5
53	в своем	5	4
54	все же	6	4
55	при этом	26	4
56	еще не	7	4
57	той или	3	4
58	он не	3	4
59	быть и	2	4
60	во времени	2	4
61	другой стороны	2	4
62	таким образом	4	4
63	самом деле	3	4
64	и по	3	4
65	а в	6	4
66	в одной	2	4
67	могут быть	4	4
68	по своей	3	4
69	как он	2	4
70	с ним	3	4
71	не менее	4	3
72	и более	3	3
73	о чем	2	3
74	в этих	3	3
75	и от	2	3
76	это время	2	3
77	об этом	4	3
78	как мы	3	3
79	уже не	5	3
80	было бы	4	3
81	не было	2	3
82	мы имеем	5	3
83	в той	4	3
84	что такое	18	3
85	в данном	13	3
86	его с	2	3
87	это только	2	3
88	о котором	2	3
89	будто бы	3	3
90	если она	2	2
91	что же	3	2
92	быть только	2	2
93	зависит от	2	2
94	в частности	13	2
95	мере в	2	2
96	в какой	4	2
97	перед нами	6	2
98	сливаются в	2	2
99	на самом	4	2
100	но о	2	2
101	к тому	6	2
102	что на	2	2
103	тем не	3	2
104	или менее	2	2
105	своей природе	2	2
106	в ней	4	2
107	если в	2	2
108	в мире	8	2
109	во всех	2	2
110	на него	2	2
111	данном случае	6	2
112	например в	2	2
113	с одной	5	2
114	как в	4	2
115	более или	2	2
116	человеческой жизни	3	2
117	времени в	3	2
118	бы и	4	2
119	или иначе	2	2
120	в своих	2	2
121	также и	4	2
122	в результате	3	2
123	их в	2	2
124	не как	2	2
125	тем что	2	2
126	или не	2	2
127	что мы	2	2
128	есть в	2	2
129	в области	3	2
130	но в	6	2
131	в жизни	4	2
132	том как	3	2
