N	3gram	Vinokur_Ku_3	Myslijsy
1	в том что	8	13
2	по отношению к	2	13
3	не может быть	3	9
4	и в этом	4	6
5	тем не менее	9	6
6	только в том	2	6
7	с другой стороны	3	5
8	не в том	2	4
9	и т д	8	4
10	только тогда когда	4	4
11	потому что в	2	4
12	так и в	3	3
13	с точки зрения	16	3
14	с одной стороны	4	3
15	не только в	3	3
16	сама по себе	2	3
17	что и в	2	3
18	и того же	2	2
19	потому что как	3	2
20	в таком случае	2	2
21	не могут быть	2	2
22	одного и того	2	2
23	и т п	41	2
24	если бы не	2	2
25	для того чтобы	11	2
