N	2gram	Propp_Russ_1	Mirosoze
1	и в	36	46
2	в нем	2	22
3	у него	2	22
4	может быть	8	21
5	в этом	12	20
6	и не	6	18
7	не только	22	18
8	но и	16	15
9	не может	4	15
10	как и	10	13
11	а не	2	13
12	потому что	10	12
13	не было	2	11
14	в ней	2	11
15	у нас	8	11
16	та же	2	10
17	но в	2	10
18	он был	2	9
19	но это	4	8
20	как бы	5	8
21	в своем	3	8
22	так как	15	8
23	она не	2	8
24	в нашем	2	7
25	и к	3	7
26	и потому	2	7
27	как в	5	7
28	и для	2	7
29	что это	3	6
30	так же	3	6
31	того что	4	6
32	и здесь	2	6
33	то же	3	5
34	один из	8	5
35	что она	2	5
36	это не	10	5
37	друг к	2	5
38	к тому	4	5
39	к другу	2	5
40	то что	6	5
41	в его	2	5
42	что в	19	4
43	они и	2	4
44	тому что	4	4
45	для этого	2	4
46	до конца	2	4
47	что у	2	4
48	не имеет	6	4
49	в русском	4	4
50	чем у	2	4
51	в жизни	2	4
52	думать что	3	4
53	в свою	3	4
54	том что	19	4
55	означает что	2	4
56	что и	7	4
57	так и	7	4
58	т е	17	4
59	уже не	6	4
60	себя и	2	3
61	он же	3	3
62	в каждом	2	3
63	в образе	2	3
64	на все	2	3
65	в том	17	3
66	что они	7	3
67	в своих	2	3
68	и на	10	3
69	и с	2	3
70	что иное	2	3
71	о том	8	3
72	как он	2	3
73	в россии	4	3
74	с ним	2	3
75	иное как	2	3
76	они были	2	3
77	в них	6	3
78	к другому	2	3
79	западной европы	3	3
80	не что	2	3
81	того как	5	3
82	тем что	4	3
83	только в	4	3
84	в этих	3	2
85	у русских	8	2
86	нас не	2	2
87	так что	2	2
88	хотя и	2	2
89	но она	2	2
90	в разных	3	2
91	и других	7	2
92	стоит в	2	2
93	а в	9	2
94	и те	3	2
95	в более	2	2
96	он так	2	2
97	точки зрения	3	2
98	не случайно	2	2
99	е в	8	2
100	между тем	7	2
101	на этом	3	2
102	с собой	4	2
103	не означает	2	2
104	его с	4	2
105	интерес к	2	2
106	мы видим	2	2
107	связи с	4	2
108	чем в	2	2
109	после того	2	2
110	и что	4	2
111	мы увидим	8	2
112	во всех	4	2
113	к ней	2	2
114	еще в	4	2
115	вместе с	10	2
116	быть и	2	2
117	последний день	2	2
118	как будто	5	2
119	ничего не	3	2
120	и поэтому	2	2
