N	2gram	Propp_Isto_2	Sovremen
1	не может	5	17
2	может быть	17	12
3	таким образом	7	11
4	мы не	3	9
5	в этом	11	7
6	и в	15	7
7	и не	11	6
8	как и	2	6
9	мы можем	8	6
10	ничего не	7	6
11	прежде всего	5	5
12	все эти	4	5
13	и наконец	5	5
14	как бы	6	4
15	мы видели	2	4
16	вместе с	7	4
17	это не	2	4
18	а в	12	4
19	вопрос о	4	4
20	не только	18	4
21	в том	6	4
22	их в	2	4
23	из них	2	4
24	мы должны	4	4
25	так как	14	4
26	в системе	2	3
27	уже в	2	3
28	самого начала	2	3
29	все же	9	3
30	на этой	2	3
31	видели что	3	3
32	все это	3	3
33	то же	10	3
34	в нем	7	3
35	а не	5	3
36	для нас	4	3
37	когда мы	2	3
38	с самого	2	3
39	не в	7	3
40	в этой	4	3
41	одна из	2	3
42	еще не	9	3
43	он в	3	3
44	при этом	4	3
45	было бы	5	3
46	в одном	5	3
47	как он	3	3
48	в себе	4	3
49	что она	5	3
50	но в	6	3
51	так сказать	2	2
52	же мы	2	2
53	что это	6	2
54	и есть	5	2
55	и именно	2	2
56	в некоторых	2	2
57	у него	4	2
58	не будем	4	2
59	на котором	2	2
60	но очень	2	2
61	приводит к	2	2
62	из этих	3	2
63	с одной	4	2
64	самом деле	2	2
65	и что	6	2
66	роль в	3	2
67	что при	5	2
68	и пр	7	2
69	к чему	2	2
70	дает нам	2	2
71	и по	2	2
72	мы знаем	11	2
73	он должен	2	2
74	той же	2	2
75	мы видим	8	2
76	но все	5	2
77	такой же	2	2
78	знаем что	12	2
79	могут быть	2	2
80	с этим	5	2
81	этой стадии	2	2
82	и они	4	2
83	что в	12	2
84	некоторое время	2	2
85	это за	2	2
86	на его	2	2
87	в которой	2	2
88	в его	6	2
