N	2gram	Trubetskoy_1	VrazhdaK
1	не только	10	9
2	в этом	15	8
3	и что	4	8
4	и в	26	8
5	но и	9	7
6	что в	9	7
7	то что	7	7
8	и все	2	7
9	в котором	4	6
10	в нем	4	6
11	все же	6	6
12	и даже	3	6
13	в начале	2	6
14	но в	7	6
15	и с	10	6
16	то же	4	5
17	не было	2	5
18	и не	8	5
19	между тем	2	5
20	в то	4	5
21	же время	2	5
22	в россии	2	5
23	уже в	2	4
24	как бы	12	4
25	все это	6	4
26	целый ряд	4	4
27	что он	4	4
28	так же	5	4
29	может быть	10	4
30	при этом	3	4
31	несмотря на	6	4
32	о том	6	4
33	в виду	2	4
34	с его	2	3
35	связи с	9	3
36	в своем	3	3
37	в связи	3	3
38	в конце	6	3
39	к этому	3	3
40	на то	2	3
41	и у	8	3
42	в том	11	3
43	том что	7	3
44	и как	3	3
45	в его	5	3
46	далеко не	4	3
47	и о	3	3
48	одним из	2	3
49	он не	4	3
50	после смерти	10	2
51	а с	7	2
52	и это	2	2
53	из них	7	2
54	не менее	3	2
55	никогда не	5	2
56	вместе с	15	2
57	в них	2	2
58	не может	4	2
59	а в	4	2
60	таким образом	22	2
61	начиная с	2	2
62	уже не	3	2
63	с точки	6	2
64	в глазах	2	2
65	в этой	4	2
66	же как	3	2
67	точки зрения	13	2
68	в свою	2	2
69	в себе	6	2
70	отношение к	5	2
71	для него	3	2
72	еще не	2	2
73	во время	4	2
74	время он	2	2
75	в мире	5	2
76	к ним	3	2
77	в среде	2	2
78	в эту	2	2
79	а также	2	2
80	в русских	2	2
