N	2gram	Medvedev_F_1	Analitik
1	литературного произведения	4	41
2	может быть	14	29
3	в том	6	27
4	не может	16	22
5	и не	20	21
6	в частности	4	19
7	и в	24	18
8	а не	10	17
9	но и	7	17
10	отнюдь не	6	15
11	не только	7	15
12	не в	8	14
13	как и	11	13
14	в его	23	13
15	в этом	15	13
16	литературное произведение	10	12
17	при этом	5	12
18	произведения в	8	11
19	в себе	3	11
20	но не	3	10
21	художественного целого	2	10
22	произведение искусства	2	9
23	то же	10	9
24	а в	6	9
25	в то	9	9
26	в мире	4	8
27	не есть	2	8
28	но в	5	8
29	художественного восприятия	2	7
30	к тому	3	7
31	том чтобы	2	7
32	этого слова	3	7
33	тем самым	3	7
34	произведения как	2	7
35	это не	2	6
36	прежде всего	22	6
37	же время	8	6
38	в самом	5	6
39	должен быть	5	6
40	то что	8	6
41	в своей	11	6
42	по отношению	4	6
43	в основе	3	6
44	точки зрения	16	6
45	только в	2	6
46	художественного произведения	23	5
47	и как	3	5
48	в этой	6	5
49	что в	4	5
50	как бы	6	5
51	отношению к	4	5
52	в целом	6	5
53	художественное произведение	6	5
54	в их	11	5
55	сводится к	3	5
56	лишь в	8	5
57	и его	10	5
58	между тем	2	5
59	и на	8	5
60	в произведении	2	5
61	того что	5	4
62	и более	2	4
63	истории литературы	12	4
64	искусства в	4	4
65	с другой	5	4
66	по себе	5	4
67	в литературе	5	4
68	ни в	2	4
69	в широком	3	4
70	в области	3	4
71	не с	2	4
72	все же	3	4
73	вместе с	2	4
74	так и	18	4
75	именно в	8	4
76	уже не	2	4
77	ни было	2	4
78	с точки	13	4
79	с другими	4	4
80	с ним	2	4
81	место в	7	3
82	с его	4	3
83	вступает в	2	3
84	однако не	2	3
85	в нашем	2	3
86	то ни	3	3
87	хотя бы	5	3
88	и все	6	3
89	или иного	3	3
90	в нем	14	3
91	и к	4	3
92	что он	3	3
93	и т	12	3
94	о литературе	6	3
95	во внешнем	2	3
96	еще не	6	3
97	одной стороны	4	3
98	он не	3	3
99	что и	2	3
100	вопрос об	2	3
101	бы то	3	3
102	таким образом	13	3
103	с одной	4	3
104	того или	2	3
105	данного произведения	2	3
106	т п	4	3
107	более того	3	3
108	могла бы	2	3
109	произведения искусства	3	3
110	в художественном	3	3
111	бы быть	2	3
112	подхода к	2	3
113	если бы	4	3
114	только не	2	2
115	на фоне	3	2
116	на все	3	2
117	никогда не	4	2
118	все эти	6	2
119	его и	2	2
120	для этого	4	2
121	была бы	2	2
122	вовсе не	10	2
123	вопрос о	2	2
124	не сводится	2	2
125	а как	2	2
126	бы ни	5	2
127	об искусстве	3	2
128	в искусстве	5	2
129	и потому	9	2
130	в противовес	2	2
131	должно быть	11	2
132	литературы как	3	2
133	отношение к	3	2
134	для него	3	2
135	в пределах	6	2
136	было бы	6	2
137	на его	2	2
138	за пределы	2	2
139	в ряду	2	2
140	она есть	2	2
141	не о	3	2
142	и является	2	2
143	еще в	2	2
144	нет и	2	2
145	произведение в	3	2
146	сами по	2	2
147	науки о	2	2
148	один из	3	2
149	в процессе	9	2
150	и до	5	2
151	из возможных	2	2
152	со стороны	5	2
153	отличается от	3	2
154	здесь не	3	2
155	как к	3	2
156	отношения к	6	2
157	на самом	7	2
158	самом деле	6	2
159	особенно в	3	2
160	как мы	5	2
161	на основе	6	2
162	из виду	2	2
163	и заключается	2	2
164	жизни но	2	2
165	исторической поэтики	3	2
166	думать что	3	2
167	в которой	4	2
168	в литературоведении	3	2
169	и с	8	2
170	мира в	2	2
