N	2gram	Losev_Dial_2	Sotsiolo
1	все это	4	7
2	в том	14	5
3	в этом	8	5
4	не в	8	3
5	как же	3	3
6	и только	4	3
7	но ведь	2	3
8	и в	19	3
9	не только	19	3
10	как только	3	2
11	еще не	4	2
12	было бы	3	2
13	как будто	7	2
14	только в	5	2
15	в конце	2	2
16	это и	3	2
17	и мы	3	2
18	таким образом	4	2
19	том что	10	2
20	то же	12	2
21	то что	14	2
22	может быть	20	2
23	за пределы	4	2
24	в результате	2	2
25	в частности	2	2
26	и что	5	2
27	но и	12	2
28	дело не	2	2
29	очевидно что	2	2
30	только как	3	2
31	в смысле	5	2
32	как бы	14	2
33	должна быть	5	2
34	ведь это	3	2
35	что в	7	2
