N	2gram	Bakhtin_Fr_5	Problemy
1	и в	45	46
2	то есть	25	40
3	и не	15	27
4	может быть	2	23
5	как бы	12	19
6	не может	5	19
7	в нем	10	17
8	в этом	14	16
9	не только	14	14
10	и т.п	16	14
11	перед нами	4	12
12	но и	10	12
13	как и	10	12
14	как мы	8	12
15	и на	5	11
16	точки зрения	4	11
17	в одном	3	11
18	а не	4	11
19	не в	7	10
20	в пределах	2	10
21	прежде всего	10	9
22	в том	10	9
23	в большинстве	2	9
24	в самом	4	9
25	и все	7	9
26	вовсе не	8	9
27	и к	5	9
28	в его	13	9
29	с точки	2	9
30	большинстве случаев	2	8
31	до сих	3	8
32	конечно не	2	8
33	сих пор	3	8
34	и с	10	7
35	в сущности	4	7
36	как раз	5	7
37	слова и	2	7
38	в каждом	2	6
39	ни в	3	6
40	но это	5	6
41	есть в	3	6
42	хотя и	5	6
43	но в	14	6
44	на фоне	2	6
45	что он	6	6
46	в романе	11	6
47	то же	11	6
48	все это	7	6
49	и он	3	6
50	и его	13	6
51	только в	4	6
52	это не	3	5
53	же время	9	5
54	при этом	2	5
55	друг с	2	5
56	к нему	2	5
57	жизни и	8	5
58	мы находим	4	5
59	в самой	8	5
60	рядом с	2	5
61	ведь и	3	5
62	в то	11	5
63	так как	6	5
64	с его	7	5
65	у него	4	5
66	на площади	3	5
67	о том	4	5
68	во всех	13	5
69	если мы	2	5
70	с другом	2	5
71	том числе	4	4
72	что в	12	4
73	очень часто	4	4
74	можно сказать	2	4
75	слова но	2	4
76	кроме того	4	4
77	например в	5	4
78	в их	4	4
79	таким образом	8	4
80	еще и	3	4
81	все эти	5	4
82	и наконец	2	4
83	потому что	7	4
84	он и	3	4
85	и здесь	4	4
86	мы слышим	2	4
87	мы не	4	4
88	мы можем	2	4
89	превращается в	2	4
90	как в	3	4
91	том что	7	4
92	но не	4	4
93	том же	2	4
94	он не	6	4
95	все же	2	4
96	то что	2	4
97	своего рода	4	4
98	так и	6	4
99	в себя	5	4
100	самом деле	5	4
101	здесь не	6	4
102	обычной жизненной	2	3
103	и другие	3	3
104	себя и	2	3
105	в отношении	2	3
106	из этих	3	3
107	не могут	2	3
108	словом и	3	3
109	такой же	4	3
110	в своем	11	3
111	на этом	5	3
112	числе и	2	3
113	смен и	3	3
114	одним из	5	3
115	здесь нет	3	3
116	и для	3	3
117	и их	5	3
118	и до	2	3
119	так же	8	3
120	и только	2	3
121	с помощью	3	3
122	и даже	4	3
123	конечно и	2	3
124	также и	7	3
125	но он	3	3
126	но этот	3	3
127	в конце	7	3
128	как он	3	3
129	бы в	4	3
130	в приведенном	3	3
131	здесь и	5	3
132	и во	4	3
133	в условиях	2	3
134	в различных	2	3
135	с ее	5	3
136	по существу	3	3
137	того же	3	3
138	ведь это	2	3
139	и что	2	3
140	но именно	2	3
141	было бы	2	3
142	мы уже	4	3
143	в своей	3	3
144	и о	4	3
145	что и	7	3
146	на него	2	3
147	в отличие	2	3
148	той же	4	3
149	почти всегда	3	3
150	жизнь и	2	3
151	в этой	6	3
152	и т.д	2	3
153	и это	4	3
154	дело в	3	3
155	отличие от	2	3
156	не менее	3	2
157	но на	3	2
158	и одновременно	3	2
159	в одной	3	2
160	мысли и	6	2
161	на все	2	2
162	к тому	2	2
163	его как	4	2
164	в известной	2	2
165	в одно	2	2
166	и как	5	2
167	же как	4	2
168	для него	3	2
169	в общем	4	2
170	вернемся к	4	2
171	на части	5	2
172	если в	2	2
173	и мысли	2	2
174	в карнавальную	2	2
175	в первой	4	2
176	на том	2	2
177	образов и	4	2
178	но она	3	2
179	но дело	2	2
180	не было	3	2
181	лишь в	2	2
182	в системе	2	2
183	а в	4	2
184	в которых	3	2
185	сказать что	4	2
186	здесь только	2	2
187	с ним	5	2
188	почти не	2	2
189	между тем	2	2
190	поэтому и	3	2
191	находим в	3	2
192	с этим	4	2
193	в духе	2	2
194	из своих	2	2
195	не хочет	2	2
196	раз в	2	2
197	есть и	5	2
198	и слова	2	2
199	со словом	2	2
200	здесь в	4	2
201	в заключение	3	2
202	об этом	4	2
203	к ней	2	2
204	нет и	2	2
205	не могло	3	2
206	когда он	2	2
207	вместе с	3	2
208	так в	2	2
209	в карнавальном	4	2
210	на этот	3	2
211	хотя бы	2	2
212	у рабле	11	2
213	можно было	4	2
214	здесь с	2	2
215	ничего не	4	2
216	в атмосфере	6	2
217	в данном	2	2
218	от этого	2	2
219	в другом	3	2
220	ту же	2	2
221	в поэзии	3	2
222	там где	3	2
