N	2gram	Tiupa_Disk_2	Myshleni
1	в том	8	42
2	том что	10	35
3	точки зрения	4	24
4	в этом	16	24
5	в качестве	16	21
6	и в	16	20
7	что в	5	19
8	в основе	4	17
9	то же	6	16
10	то что	5	15
11	не только	10	15
12	с другой	5	12
13	при этом	17	12
14	потому что	4	12
15	может быть	16	12
16	в целом	2	11
17	в его	3	11
18	с точки	2	11
19	и то	4	10
20	в себе	19	10
21	только в	3	10
22	и как	3	9
23	одной стороны	4	9
24	но и	11	9
25	другой стороны	2	9
26	с одной	4	9
27	между тем	2	9
28	как и	16	9
29	того же	2	9
30	что и	2	9
31	и не	15	8
32	в результате	2	8
33	вместе с	2	8
34	как бы	4	7
35	этом отношении	4	7
36	в своей	6	7
37	тем самым	6	7
38	а не	14	7
39	могут быть	3	7
40	одного и	3	6
41	же как	2	6
42	такого рода	9	6
43	не может	9	6
44	и на	5	6
45	по своей	6	6
46	его в	3	6
47	что он	2	6
48	одно и	2	6
49	той же	2	6
50	перед нами	3	5
51	в частности	12	5
52	никогда не	2	5
53	это не	3	5
54	не является	4	5
55	и его	3	5
56	все же	6	5
57	и того	3	5
58	о том	4	5
59	так и	9	5
60	как в	8	5
61	все эти	3	5
62	в своем	5	4
63	как уже	2	4
64	в ходе	2	4
65	является не	2	4
66	из них	3	4
67	в первую	2	4
68	роль в	4	4
69	и с	2	4
70	состоит в	16	4
71	к этому	4	4
72	на первый	2	4
73	первую очередь	2	4
74	не в	3	4
75	и для	2	4
76	ключом к	2	4
77	в области	2	4
78	не менее	7	3
79	обоих случаях	2	3
80	в этих	3	3
81	не подлежит	2	3
82	в этой	4	3
83	со стороны	10	3
84	именно в	2	3
85	столь же	3	3
86	должно быть	2	3
87	но в	11	3
88	отнюдь не	6	3
89	идет о	2	3
90	этом случае	2	3
91	представляет собой	11	3
92	но не	7	3
93	в обоих	2	3
94	с таким	2	3
95	себя в	6	3
96	слова не	2	3
97	приводит к	3	3
98	ни в	7	3
99	место в	2	2
100	такой же	2	2
101	содержит в	2	2
102	должна быть	2	2
103	прежде всего	7	2
104	что на	2	2
105	который не	2	2
106	для него	5	2
107	в ней	2	2
108	в нем	7	2
109	данном случае	6	2
110	в отличие	12	2
111	установку на	2	2
112	а в	2	2
113	не знает	3	2
114	также и	3	2
115	поведения в	3	2
116	в данном	7	2
117	из этих	3	2
118	их в	2	2
119	мы имеем	2	2
120	это в	2	2
121	а потом	2	2
122	которая в	2	2
123	стороны и	2	2
124	переходе от	2	2
125	с той	2	2
126	еще не	6	2
127	свое время	2	2
128	далеко не	2	2
129	в свое	2	2
130	а также	8	2
131	и т.п	12	2
132	в языке	2	2
133	входит в	2	2
134	тогда как	11	2
135	а с	5	2
136	в той	2	2
137	тому как	2	2
138	подобно тому	2	2
139	и это	2	2
140	здесь не	2	2
141	который по	2	2
142	отличие от	12	2
