N	3gram	Vinokur_Ku_3	Psycholo
1	для того чтобы	11	19
2	в том что	8	12
3	о том что	3	10
4	в самом деле	11	7
5	и только после	2	5
6	на самом деле	3	5
7	с точки зрения	16	4
8	можно было бы	10	4
9	смысле этого слова	2	3
10	совершенно ясно что	2	3
11	и в этом	4	3
12	и т п	41	3
13	сама по себе	2	3
14	с одной стороны	4	3
15	до сих пор	8	3
16	в том чтобы	3	3
17	тех пор пока	4	2
18	сам по себе	3	2
19	в какой мере	2	2
20	до тех пор	4	2
21	и т д	8	2
22	было бы сказать	3	2
23	с другой стороны	3	2
24	и в самом	4	2
25	к тому же	2	2
