N	2gram	Tiupa_Vved_1	Myslijsy
1	потому что	5	49
2	для нас	2	31
3	то есть	8	30
4	и в	13	24
5	может быть	18	23
6	в сознании	4	23
7	то что	6	20
8	и не	12	19
9	а не	15	18
10	в том	10	18
11	что в	3	16
12	по себе	2	15
13	не только	20	15
14	при этом	26	13
15	было бы	4	13
16	не в	6	13
17	в слове	3	13
18	но не	5	12
19	не может	7	12
20	то же	5	12
21	мы можем	2	12
22	если бы	7	11
23	что мы	2	11
24	что и	2	11
25	мы не	4	11
26	только в	6	11
27	таким образом	4	11
28	для него	3	10
29	в себе	5	10
30	как в	4	10
31	тогда как	10	10
32	в нем	5	9
33	как бы	4	9
34	но и	19	9
35	то и	2	9
36	а в	6	8
37	том что	7	8
38	более или	2	8
39	или менее	2	8
40	и на	3	8
41	в этом	21	8
42	могут быть	4	8
43	прежде всего	7	7
44	во всех	2	7
45	как и	11	7
46	того что	6	7
47	тем что	2	7
48	с другой	5	6
49	и того	2	6
50	свою очередь	4	6
51	не можем	2	6
52	в свою	4	6
53	по поводу	2	6
54	в ряду	2	6
55	тем не	3	6
56	не было	2	6
57	не имеет	2	6
58	между двумя	3	6
59	в то	4	6
60	слова в	2	5
61	не менее	4	5
62	с ним	3	5
63	о том	5	5
64	судя по	2	5
65	так и	8	5
66	в них	2	5
67	бы не	2	5
68	мертвых душ	4	5
69	или не	2	5
70	все же	6	5
71	место в	2	4
72	никогда не	4	4
73	из этих	3	4
74	уже не	5	4
75	одна из	4	4
76	еще не	7	4
77	в самом	2	4
78	в котором	8	4
79	так в	4	4
80	с одной	5	4
81	и сами	2	4
82	тем самым	5	4
83	тому как	2	4
84	подобно тому	2	4
85	как он	2	4
86	так сказать	2	4
87	но в	6	4
88	стало быть	7	4
89	это не	6	3
90	не как	2	3
91	и от	2	3
92	и все	4	3
93	хотя и	7	3
94	что на	2	3
95	о которой	2	3
96	все что	3	3
97	одной стороны	5	3
98	но это	3	3
99	например в	2	3
100	вслед за	2	3
101	в ней	4	3
102	если в	2	3
103	и тем	2	3
104	не с	3	3
105	в целом	3	3
106	на него	2	3
107	со стороны	5	3
108	быть не	4	3
109	те же	2	3
110	и для	3	3
111	могла бы	3	3
112	далеко не	4	3
113	в этих	3	3
114	том как	3	3
115	но на	2	2
116	а то	2	2
117	в нашем	6	2
118	и его	5	2
119	в какой	4	2
120	не столько	4	2
121	а к	3	2
122	в жизни	4	2
123	состоит в	10	2
124	к этому	2	2
125	зависит от	2	2
126	пространство и	2	2
127	слова но	2	2
128	бы в	3	2
129	есть в	2	2
130	же время	3	2
131	связано с	3	2
132	имеет место	4	2
133	в его	4	2
134	как для	2	2
135	его с	2	2
136	не все	2	2
137	один из	3	2
138	во времени	2	2
139	другой стороны	2	2
140	внимание на	3	2
141	и действия	2	2
142	теперь уже	2	2
143	а с	2	2
144	на самом	4	2
145	самом деле	3	2
146	что такое	18	2
147	и по	3	2
148	по отношению	7	2
149	их в	2	2
150	быть только	2	2
151	о котором	2	2
152	как оно	2	2
153	к которому	2	2
