N	2gram	Vygotskiy__4	EvropaiE
1	и в	33	37
2	в пределах	3	25
3	точки зрения	6	23
4	что в	21	21
5	не только	7	18
6	с точки	4	17
7	в то	3	16
8	хотя бы	2	15
9	то же	9	15
10	в своем	7	14
11	же время	2	14
12	но и	3	14
13	и не	13	14
14	но в	2	14
15	в этом	28	12
16	в их	2	11
17	в том	21	11
18	так и	3	10
19	прежде всего	2	9
20	не может	10	9
21	в себе	6	9
22	только в	4	9
23	так же	13	9
24	думать что	2	8
25	к тому	12	8
26	в ее	2	8
27	одной стороны	3	8
28	было бы	12	8
29	в своей	4	8
30	с одной	3	8
31	как и	5	7
32	нам кажется	2	7
33	того что	4	7
34	с другой	2	7
35	также и	2	7
36	так как	12	7
37	с этой	4	6
38	вовсе не	5	6
39	том что	22	6
40	может быть	22	6
41	вслед за	3	6
42	для того	23	6
43	на то	10	6
44	как бы	25	6
45	то что	44	6
46	во всех	2	6
47	того чтобы	22	6
48	и на	5	6
49	то есть	13	6
50	же как	3	5
51	в частности	4	5
52	столь же	2	5
53	не в	2	5
54	но не	3	5
55	но если	3	5
56	со стороны	2	5
57	как мы	4	5
58	в той	3	5
59	тем самым	3	5
60	от этого	3	5
61	в виде	3	5
62	и потому	2	5
63	именно в	2	4
64	вопрос о	2	4
65	можно сказать	2	4
66	бы то	2	4
67	в самом	12	4
68	в ней	6	4
69	даже в	2	4
70	по себе	9	4
71	для нас	7	4
72	не на	2	4
73	мы не	5	4
74	не имеет	2	4
75	сказать что	13	4
76	в каком	8	4
77	как это	14	4
78	место в	2	3
79	и к	2	3
80	с тем	4	3
81	никогда не	5	3
82	в них	2	3
83	и от	2	3
84	с другом	4	3
85	ли это	3	3
86	представляет собой	2	3
87	мы можем	5	3
88	друг с	4	3
89	и мы	15	3
90	из них	4	3
91	всяком случае	3	3
92	не является	2	3
93	что и	3	3
94	говорит о	4	3
95	не будет	4	3
96	когда он	7	3
97	ее в	4	3
98	бы и	2	3
99	как в	3	3
100	и только	7	3
101	идет о	3	3
102	и для	3	3
103	как на	6	3
104	в таком	4	3
105	можно было	4	3
106	в которых	3	3
107	в результате	2	3
108	потому что	24	3
109	во всяком	3	3
110	тем что	3	3
111	ни на	2	3
112	во все	3	3
113	о том	20	3
114	в порядке	4	2
115	что все	11	2
116	а не	6	2
117	в какой	5	2
118	с этим	5	2
119	и все	12	2
120	в одном	3	2
121	для понимания	2	2
122	и эта	2	2
123	одна и	2	2
124	и как	5	2
125	в сторону	3	2
126	такой же	2	2
127	что если	3	2
128	или вернее	2	2
129	не можем	3	2
130	в англию	2	2
131	что это	13	2
132	кажется что	2	2
133	и если	9	2
134	она не	3	2
135	он не	11	2
136	в его	10	2
137	и этот	3	2
138	в котором	2	2
139	точка зрения	2	2
140	какой бы	3	2
141	при помощи	4	2
142	в мире	3	2
143	только одно	2	2
144	жизни и	4	2
145	вместе с	8	2
146	иначе говоря	2	2
147	во всей	3	2
148	целый ряд	5	2
149	а в	4	2
150	таким образом	13	2
151	если бы	10	2
152	и других	4	2
153	и сейчас	3	2
154	заключается в	5	2
155	и что	25	2
156	и наконец	2	2
157	на этот	3	2
158	другой стороны	2	2
159	тому чтобы	3	2
160	мы видим	6	2
161	в своих	3	2
162	этот вопрос	4	2
163	и та	2	2
164	что эти	2	2
165	и с	2	2
166	в этой	9	2
167	и то	2	2
168	как будто	8	2
169	мы должны	6	2
170	далеко не	3	2
