N	2gram	Propp_Russ_2	StatiiOP
1	в и	3	130
2	и в	29	44
3	в том	22	36
4	и т	5	30
5	что в	22	30
6	том что	22	29
7	т д	5	21
8	в этом	11	21
9	то что	5	18
10	не только	10	18
11	было бы	3	17
12	а в	9	17
13	о том	9	17
14	а не	4	16
15	т е	24	15
16	может быть	13	15
17	в данном	6	14
18	как в	7	13
19	можно было	2	13
20	не в	4	12
21	у нас	4	11
22	в этой	3	11
23	того чтобы	6	11
24	для того	6	10
25	но и	8	10
26	но в	5	10
27	с другой	2	9
28	в то	2	9
29	как и	11	9
30	того что	3	9
31	во всех	3	8
32	все же	2	8
33	из них	4	8
34	не может	5	8
35	это не	5	8
36	прежде всего	2	7
37	для нас	6	7
38	таким образом	6	7
39	потому что	5	6
40	из этих	2	6
41	так что	4	6
42	что и	2	6
43	в своей	2	6
44	данном случае	7	6
45	именно в	4	6
46	на самом	2	6
47	не менее	2	5
48	никогда не	2	5
49	так же	4	5
50	совершенно не	2	5
51	в котором	3	5
52	xix в	3	5
53	все это	10	5
54	вряд ли	2	5
55	то же	4	5
56	и по	3	5
57	в которых	4	5
58	и то	2	5
59	тем что	3	5
60	могут быть	2	5
61	все эти	3	5
62	так как	13	5
63	там где	2	5
64	что это	3	4
65	что она	3	4
66	представление о	5	4
67	это в	2	4
68	вопрос о	4	4
69	в ее	3	4
70	это и	2	4
71	должна была	5	4
72	и что	5	4
73	в качестве	3	4
74	но если	3	4
75	как бы	18	4
76	дело не	2	4
77	не было	2	4
78	не имеет	3	4
79	этот вопрос	2	4
80	на эту	2	4
81	как это	4	4
82	в которой	2	4
83	а с	2	3
84	во время	12	3
85	по этому	2	3
86	и с	10	3
87	с этой	2	3
88	в г	2	3
89	об этом	2	3
90	же как	4	3
91	чем в	2	3
92	но не	5	3
93	а на	9	3
94	еще не	6	3
95	п в	12	3
96	и для	2	3
97	не все	4	3
98	должен быть	2	3
99	говорит о	2	3
100	а именно	3	3
101	в виде	4	3
102	что для	3	3
103	с одной	2	3
104	в таком	4	3
105	видно что	2	3
106	связанные с	2	3
107	будто бы	5	3
108	во многих	9	3
109	между тем	3	3
110	с этим	2	3
111	что от	3	2
112	совсем не	2	2
113	в этих	3	2
114	иногда и	2	2
115	не всегда	3	2
116	нет никаких	2	2
117	что на	2	2
118	этом случае	6	2
119	по существу	4	2
120	есть в	2	2
121	при этом	6	2
122	то время	2	2
123	что при	2	2
124	что с	2	2
125	она не	3	2
126	одной стороны	2	2
127	не имели	2	2
128	должно было	3	2
129	а также	4	2
130	к числу	2	2
131	как можно	2	2
132	тем не	2	2
133	также в	2	2
134	для этого	5	2
135	начиная с	2	2
136	о них	2	2
137	многих случаях	2	2
138	в других	15	2
139	мы не	6	2
140	в своих	2	2
141	а иногда	2	2
142	их в	4	2
143	одно из	2	2
144	но он	3	2
145	что здесь	3	2
146	этому поводу	2	2
147	все в	2	2
148	и все	4	2
149	его в	8	2
150	к нему	4	2
151	должен был	3	2
152	или же	5	2
153	мы имеем	6	2
154	е в	10	2
