N	2gram	Nazirov_Tr_1	Istorich
1	и в	18	22
2	в этом	9	17
3	что в	4	15
4	не только	8	14
5	но и	4	12
6	и не	7	12
7	может быть	7	11
8	еще не	4	10
9	но в	6	10
10	что он	6	9
11	в нем	4	9
12	что и	2	9
13	в том	2	9
14	том что	4	8
15	то что	4	7
16	уже не	2	7
17	и здесь	2	7
18	это не	5	6
19	то и	2	6
20	то же	5	6
21	друг друга	2	6
22	ничего не	2	6
23	в частности	2	5
24	так что	2	5
25	один из	3	5
26	все же	5	5
27	что она	2	5
28	он не	2	5
29	к нему	3	5
30	в этой	4	5
31	как это	3	4
32	не в	2	4
33	в дальнейшем	5	4
34	отношение к	2	4
35	и его	6	4
36	и на	7	4
37	в данном	2	4
38	не может	5	4
39	тем что	2	4
40	все эти	3	4
41	и с	7	4
42	я не	4	3
43	и все	4	3
44	прежде всего	4	3
45	к тому	2	3
46	как и	5	3
47	и как	3	3
48	но это	4	3
49	этим объясняется	2	3
50	у него	6	3
51	в его	3	3
52	никогда не	2	3
53	в целом	4	3
54	данном случае	2	3
55	дома и	2	3
56	так же	4	3
57	потому что	2	3
58	он и	2	3
59	и ее	2	3
60	о том	2	3
61	его в	2	3
62	одном из	2	3
63	с тем	2	2
64	точно так	2	2
65	в одном	2	2
66	вопрос о	2	2
67	а я	5	2
68	ни в	2	2
69	но все	2	2
70	но они	2	2
71	одна из	2	2
72	как в	3	2
73	при этом	3	2
74	не мог	2	2
75	и он	3	2
76	к жизни	5	2
77	не имеет	2	2
78	и это	2	2
79	я буду	2	2
80	так и	5	2
81	в своем	3	2
82	никто не	3	2
83	и что	4	2
84	и даже	4	2
85	и то	2	2
86	в русском	2	2
87	в виде	2	2
88	в то	5	2
89	как будто	3	2
