N	3gram	Losev_Prob_3	KulturaY
1	в том что	9	15
2	и т д	13	14
3	с точки зрения	2	9
4	только потому что	2	6
5	с другой стороны	5	6
6	по крайней мере	5	5
7	о том что	3	5
8	во всяком случае	6	5
9	до сих пор	2	4
10	что же касается	4	4
11	тем не менее	10	4
12	можно было бы	3	3
13	о том как	2	3
14	в связи с	7	3
15	не может быть	5	3
16	того или иного	3	3
17	в первую очередь	3	2
18	т д и	4	2
19	и вовсе не	4	2
20	этой точки зрения	2	2
21	д и т	4	2
22	в то же	4	2
23	на самом деле	2	2
24	заключается в том	3	2
25	в этом случае	5	2
