N	2gram	Tiupa_Hudo_1	Dialekti
1	т е	4	46
2	и не	2	30
3	а не	12	18
4	может быть	5	17
5	и т	11	17
6	ничего не	8	17
7	то что	8	16
8	и в	14	15
9	т д	3	15
10	как бы	7	14
11	не имеет	2	14
12	точки зрения	5	14
13	того что	4	13
14	по себе	2	13
15	это не	7	12
16	прежде всего	11	11
17	в том	12	11
18	не может	7	11
19	говорить о	3	11
20	ясно что	2	11
21	и все	4	11
22	в этом	11	11
23	с ее	2	10
24	личности и	2	10
25	потому что	5	10
26	том что	16	10
27	было бы	6	9
28	все это	2	9
29	мы не	2	9
30	и что	2	9
31	то же	9	9
32	уже не	7	9
33	с точки	3	9
34	ни в	5	8
35	не в	7	8
36	в себе	11	8
37	и о	4	8
38	не только	12	8
39	и это	4	8
40	что в	6	7
41	что он	9	7
42	как и	9	7
43	и его	5	7
44	только в	5	7
45	перед нами	5	6
46	так что	2	6
47	же время	8	6
48	хотя и	2	6
49	и даже	3	6
50	в результате	2	6
51	если бы	3	6
52	в то	8	6
53	нет ничего	2	6
54	так и	13	5
55	в своем	4	5
56	на то	4	5
57	можно сказать	4	5
58	того чтобы	3	5
59	в ней	4	5
60	на себе	2	5
61	в нем	3	5
62	что она	4	5
63	именно в	7	5
64	и на	3	5
65	о том	12	5
66	с его	5	5
67	личности в	7	5
68	то в	4	5
69	что я	2	5
70	в себя	2	5
71	и для	3	5
72	той же	2	5
73	в этой	8	4
74	один из	4	4
75	жизни и	5	4
76	но и	5	4
77	с ними	2	4
78	или не	3	4
79	и с	4	4
80	не о	2	4
81	бытия и	4	4
82	отнюдь не	3	4
83	она не	4	4
84	еще не	7	4
85	как раз	4	4
86	в его	8	4
87	только для	2	3
88	та же	4	3
89	на этом	3	3
90	себя и	2	3
91	к жизни	5	3
92	в их	2	3
93	все эти	3	3
94	и об	2	3
95	с этим	3	3
96	с ним	4	3
97	но в	5	3
98	та или	3	3
99	об этом	5	3
100	только потому	2	3
101	этот момент	2	3
102	мы уже	4	3
103	в своей	10	3
104	и потому	2	3
105	со стороны	3	3
106	как в	8	3
107	она в	3	3
108	что не	2	3
109	едва ли	3	3
110	от него	3	3
111	не менее	5	2
112	в человеке	2	2
113	или иная	3	2
114	в частности	5	2
115	говорить об	2	2
116	с этой	2	2
117	вопрос о	2	2
118	что на	2	2
119	к своему	2	2
120	да и	2	2
121	при этом	12	2
122	в самом	4	2
123	себе и	2	2
124	от себя	2	2
125	никогда не	6	2
126	с той	2	2
127	из них	4	2
128	то и	3	2
129	не было	4	2
130	лишь в	3	2
131	и по	3	2
132	должно быть	2	2
133	и так	2	2
134	и когда	3	2
135	но как	2	2
136	того или	2	2
137	том как	3	2
138	однако в	2	2
139	в ее	3	2
140	все же	3	2
141	или иную	2	2
142	в качестве	9	2
143	не нужно	2	2
144	ту или	2	2
145	в аспекте	5	2
146	одной из	2	2
147	никак не	2	2
148	о нем	3	2
149	для нее	2	2
150	тем не	4	2
151	себя в	4	2
152	что же	2	2
153	не раз	2	2
154	все равно	2	2
155	только что	4	2
156	которая не	2	2
157	или иначе	2	2
158	тем что	3	2
159	как будто	4	2
160	и другое	2	2
161	может и	3	2
