N	2gram	Berdyaev_M_2	Hudozhes
1	и в	46	28
2	том что	4	19
3	и не	18	18
4	в том	3	15
5	а не	13	14
6	не в	9	13
7	в этом	20	13
8	о том	3	12
9	как и	13	11
10	в его	5	11
11	не только	18	11
12	уже не	4	10
13	не случайно	2	10
14	но и	15	9
15	в себе	10	9
16	в жизни	4	8
17	что он	7	8
18	может быть	21	8
19	себя в	4	8
20	так и	4	8
21	между тем	2	8
22	я не	5	7
23	жизни в	3	7
24	и все	5	7
25	к тому	5	7
26	в мире	7	7
27	отношению к	2	7
28	что она	5	7
29	по отношению	2	7
30	с ним	3	7
31	это не	5	6
32	то что	5	6
33	жизни и	6	6
34	в своей	5	6
35	человеческой жизни	2	6
36	если бы	3	6
37	то же	5	6
38	не было	11	6
39	а в	2	6
40	и с	3	6
41	тем что	3	6
42	я и	2	6
43	с его	4	5
44	что это	6	5
45	у него	22	5
46	в своем	8	5
47	как бы	8	5
48	как в	7	5
49	да и	2	5
50	в этой	7	5
51	что в	4	5
52	она не	8	5
53	в самом	5	5
54	никогда не	18	5
55	и его	5	5
56	для него	18	5
57	ничего не	2	5
58	бы и	5	4
59	тому что	4	4
60	превращается в	2	4
61	то в	2	4
62	что они	3	4
63	для того	5	4
64	он не	10	4
65	что и	4	4
66	не может	15	4
67	человека в	14	4
68	того чтобы	4	4
69	подобно тому	2	4
70	как будто	2	4
71	только в	3	4
72	тому как	2	4
73	бы не	2	3
74	в человеке	2	3
75	все время	2	3
76	человек в	3	3
77	личного бытия	2	3
78	в них	3	3
79	человека и	7	3
80	к себе	2	3
81	что все	5	3
82	личности в	2	3
83	прежде всего	12	3
84	что было	3	3
85	в нем	22	3
86	это была	2	3
87	любви и	3	3
88	все что	4	3
89	есть и	3	3
90	со своим	2	3
91	по преимуществу	5	3
92	в ней	11	3
93	в этих	2	3
94	не могу	6	3
95	у всех	2	3
96	чтобы не	3	3
97	и он	11	3
98	так же	6	3
99	можно было	2	3
100	и на	3	3
101	что у	4	3
102	как он	3	3
103	и это	5	3
104	к нему	2	3
105	в основе	2	2
106	жизни не	2	2
107	место в	2	2
108	он сам	6	2
109	сам он	2	2
110	в последней	2	2
111	т е	4	2
112	себя и	3	2
113	способность к	2	2
114	нельзя было	2	2
115	и от	3	2
116	а за	2	2
117	в духе	5	2
118	с собой	2	2
119	или иной	2	2
120	они были	3	2
121	же как	3	2
122	как у	2	2
123	на этом	2	2
124	они и	4	2
125	мысль о	2	2
126	что не	2	2
127	и к	7	2
128	он уже	2	2
129	же и	2	2
130	к ней	2	2
131	в церкви	2	2
132	до сих	3	2
133	сам не	2	2
134	один из	5	2
135	в нашем	7	2
136	оно не	2	2
137	людей в	2	2
138	не будет	3	2
139	отношение к	8	2
140	вместе с	2	2
141	сих пор	3	2
142	который был	2	2
143	что же	2	2
144	и тогда	3	2
145	того как	3	2
146	те же	5	2
147	жизнь в	6	2
148	лишь в	2	2
149	жизни он	3	2
150	более чем	2	2
151	и эта	2	2
152	ни одного	2	2
153	хотя бы	7	2
154	и для	7	2
155	той же	3	2
156	в любви	8	2
157	сказать что	3	2
158	потому что	12	2
159	личности и	2	2
160	точки зрения	2	2
161	самим собою	2	2
162	с самим	3	2
163	что личность	2	2
164	приходит к	2	2
165	себе в	2	2
166	его в	3	2
167	нет ничего	3	2
168	та же	10	2
169	но в	10	2
170	любви к	7	2
171	а для	2	2
