N	2gram	Nazirov_Vr_1	VerxiiNi
1	и в	8	26
2	таким образом	2	22
3	вместе с	2	15
4	в этом	8	15
5	точки зрения	2	13
6	как бы	4	12
7	в том	3	11
8	после смерти	2	10
9	может быть	4	10
10	не только	9	10
11	и с	6	10
12	связи с	3	9
13	что в	7	9
14	но и	7	9
15	и не	5	8
16	и у	3	8
17	том что	3	7
18	из них	2	7
19	то что	7	7
20	а с	2	7
21	но в	6	7
22	в конце	3	6
23	несмотря на	4	6
24	все же	6	6
25	все это	4	6
26	с точки	2	6
27	в себе	2	6
28	о том	4	6
29	отношение к	2	5
30	в его	3	5
31	никогда не	2	5
32	так же	4	5
33	в мире	2	5
34	что он	4	4
35	в нем	6	4
36	в котором	6	4
37	целый ряд	4	4
38	не может	2	4
39	а в	2	4
40	то же	5	4
41	и что	8	4
42	во время	2	4
43	он не	3	4
44	в то	5	4
45	в этой	2	4
46	далеко не	3	4
47	не менее	2	3
48	же как	2	3
49	к этому	3	3
50	для него	2	3
51	и как	3	3
52	в своем	3	3
53	и о	3	3
54	к ним	2	3
55	в связи	3	3
56	при этом	4	3
57	уже не	2	3
58	и даже	6	3
59	уже в	4	2
60	начиная с	2	2
61	с его	3	2
62	в них	2	2
63	в свою	2	2
64	на то	3	2
65	а также	2	2
66	в начале	6	2
67	же время	5	2
68	еще не	2	2
69	время он	2	2
70	в русских	2	2
71	в среде	2	2
72	не было	5	2
73	одним из	3	2
74	в глазах	2	2
75	и все	7	2
76	и это	2	2
77	в россии	5	2
78	в эту	2	2
79	между тем	5	2
80	в виду	4	2
