N	2gram	Bakhtin_Fr_6	slovoVRo
1	в романе	2	46
2	и в	41	39
3	может быть	2	37
4	и его	13	33
5	то есть	24	26
6	не только	10	24
7	и не	3	22
8	но и	13	21
9	не может	4	20
10	в нем	16	19
11	до конца	2	17
12	все это	11	16
13	в этом	12	16
14	так и	5	15
15	а не	2	14
16	как в	4	13
17	во всех	17	12
18	в истории	2	11
19	вовсе не	7	10
20	не в	4	9
21	и с	16	9
22	прежде всего	10	8
23	себя в	2	8
24	таким образом	17	8
25	точки зрения	2	8
26	с его	5	7
27	при этом	3	7
28	в его	7	7
29	как бы	7	7
30	никогда не	8	7
31	в этих	2	7
32	и потому	2	7
33	и даже	4	7
34	как мы	12	7
35	с ним	4	7
36	в него	3	7
37	в них	7	6
38	все же	4	6
39	как и	7	6
40	в своем	5	6
41	но не	2	6
42	в большинстве	4	6
43	в сущности	8	6
44	жизни и	3	6
45	там где	5	6
46	в значительной	2	6
47	все эти	11	6
48	так сказать	2	6
49	но в	8	6
50	не могут	2	5
51	с другой	4	5
52	и для	3	5
53	и все	9	5
54	для нас	2	5
55	том что	7	5
56	одной стороны	4	5
57	только в	3	5
58	в том	2	5
59	например в	6	5
60	и их	3	5
61	один из	6	5
62	с одной	4	5
63	и наконец	4	5
64	от него	2	5
65	романа в	3	5
66	конечно не	3	5
67	большинстве случаев	5	5
68	мира и	2	5
69	в плане	3	5
70	поэтому и	3	4
71	всех этих	2	4
72	борьба с	4	4
73	и др	10	4
74	но здесь	2	4
75	же время	5	4
76	в эпосе	2	4
77	для этого	2	4
78	то же	5	4
79	с помощью	6	4
80	в той	5	4
81	а в	4	4
82	с другими	3	4
83	и на	9	4
84	в основе	4	4
85	в то	6	4
86	во всем	5	4
87	так как	10	4
88	перед нами	3	3
89	что в	7	3
90	и от	4	3
91	отметить что	2	3
92	человека и	2	3
93	должна быть	2	3
94	стороны и	2	3
95	здесь в	9	3
96	но это	3	3
97	связи с	2	3
98	на этом	2	3
99	у него	7	3
100	всех его	4	3
101	и как	4	3
102	и часто	2	3
103	в ней	4	3
104	к нему	3	3
105	связано с	3	3
106	можно прямо	2	3
107	этом отношении	3	3
108	лишь в	2	3
109	а также	5	3
110	с точки	2	3
111	той же	5	3
112	рядом с	5	3
113	сказать что	6	3
114	между тем	2	3
115	прямо сказать	2	3
116	говорить о	2	3
117	в особенности	7	3
118	в чем	3	3
119	как это	2	3
120	в данном	3	2
121	уже в	4	2
122	не был	2	2
123	и другие	2	2
124	хотя и	2	2
125	его так	2	2
126	борьбу с	2	2
127	в xvii	2	2
128	но он	5	2
129	и образ	4	2
130	тогда когда	2	2
131	конечно в	2	2
132	в себе	5	2
133	что он	6	2
134	и различные	2	2
135	в дальнейшем	2	2
136	несколько слов	2	2
137	более того	4	2
138	все что	4	2
139	как о	2	2
140	мы увидим	3	2
141	и само	2	2
142	со всеми	2	2
143	мы уже	18	2
144	за пределы	2	2
145	xvii века	2	2
146	но оно	3	2
147	значение в	2	2
148	даже в	4	2
149	и особенно	3	2
150	должен быть	2	2
151	сих пор	3	2
152	на его	2	2
153	мы видели	2	2
154	то что	10	2
155	вместе с	6	2
156	подчеркнуть что	5	2
157	те же	3	2
158	все они	2	2
159	а именно	2	2
160	где они	2	2
161	в форме	2	2
162	кроме того	9	2
163	с этим	3	2
164	которых мы	2	2
165	именно в	4	2
166	еще более	2	2
167	это и	2	2
168	но эта	2	2
169	во франции	5	2
170	мы не	2	2
171	они не	3	2
172	именно на	4	2
173	и т.п	19	2
174	того чтобы	4	2
175	одним из	4	2
176	роль в	4	2
177	или в	6	2
178	людей и	3	2
179	конечно и	4	2
180	также и	6	2
181	в результате	4	2
182	он не	2	2
183	ведь и	2	2
184	в другом	4	2
185	о том	9	2
186	как он	2	2
187	только с	3	2
188	в области	2	2
189	в одном	5	2
190	в новом	2	2
191	до сих	3	2
