N	2gram	Berdyaev_O_1	Analitik
1	может быть	11	29
2	в том	5	27
3	не может	4	22
4	и не	13	21
5	и в	19	18
6	а не	11	17
7	но и	13	17
8	не только	11	15
9	не в	11	14
10	как и	6	13
11	в его	7	13
12	в этом	12	13
13	том что	2	12
14	в себе	3	11
15	а в	5	9
16	не есть	2	8
17	но в	2	8
18	это не	3	6
19	прежде всего	9	6
20	в самом	5	6
21	то что	5	6
22	в своей	2	6
23	в этой	5	5
24	что в	4	5
25	как бы	3	5
26	лишь в	7	5
27	и его	4	5
28	и на	2	5
29	о том	3	5
30	того что	3	4
31	могут быть	3	4
32	по себе	2	4
33	для того	3	4
34	все же	2	4
35	так и	2	4
36	в другом	2	4
37	с ним	3	4
38	человека к	2	4
39	не могут	3	3
40	с его	4	3
41	и есть	3	3
42	хотя бы	3	3
43	и все	10	3
44	в нем	10	3
45	и к	2	3
46	что он	3	3
47	еще не	3	3
48	что не	4	3
49	никто не	3	3
50	он не	7	3
51	что и	2	3
52	ни с	7	3
53	того чтобы	4	3
54	к нему	3	3
55	быть может	3	2
56	и то	2	2
57	никогда не	9	2
58	все эти	4	2
59	вопрос о	10	2
60	и потому	2	2
61	должно быть	2	2
62	отношение к	5	2
63	для него	5	2
64	было бы	3	2
65	мысль о	2	2
66	и о	2	2
67	не все	2	2
68	что же	2	2
69	как к	2	2
70	ничто не	2	2
71	нет ничего	7	2
72	так как	2	2
73	потому что	9	2
74	в которой	2	2
75	и с	2	2
