N	2gram	Tiupa_Hudo_2	Otkroven
1	у него	5	22
2	и в	28	19
3	но и	9	13
4	и не	18	13
5	в этом	13	12
6	а не	14	11
7	не в	13	11
8	человека в	4	11
9	может быть	8	11
10	не только	11	11
11	человека и	3	10
12	и все	7	10
13	в нем	3	10
14	никогда не	5	9
15	не было	6	9
16	в человеке	3	9
17	потому что	2	9
18	прежде всего	3	9
19	и он	3	8
20	ни с	2	7
21	лишь в	2	7
22	нет ничего	2	7
23	он не	4	7
24	в его	11	7
25	все это	3	6
26	как и	11	6
27	то что	6	5
28	а в	6	5
29	отношение к	2	5
30	о его	2	5
31	в том	15	5
32	для него	5	5
33	в этой	5	5
34	в самом	5	5
35	с его	5	4
36	т е	2	4
37	он сам	2	4
38	того чтобы	4	4
39	что не	2	4
40	и его	5	4
41	о боге	2	4
42	не может	4	4
43	человеческих отношений	2	4
44	что в	5	4
45	к нему	3	3
46	в этих	3	3
47	мысли и	2	3
48	это не	6	3
49	что он	8	3
50	для того	4	3
51	хотя бы	2	3
52	еще не	3	3
53	и от	2	3
54	все что	3	3
55	и ее	3	3
56	в себе	9	3
57	было бы	3	3
58	о том	12	3
59	с ним	7	3
60	как бы	5	3
61	это было	2	3
62	все же	2	2
63	что и	4	2
64	в душе	8	2
65	и для	2	2
66	так и	8	2
67	жизни в	7	2
68	в своем	5	2
69	что у	3	2
70	что же	2	2
71	не все	3	2
72	что все	3	2
73	потребность в	2	2
74	и к	2	2
75	о которой	2	2
76	в ее	18	2
77	в других	4	2
78	том что	19	2
79	своей жизни	4	2
80	в другом	2	2
81	и на	3	2
82	и то	2	2
83	что они	4	2
84	сказать что	2	2
85	и с	6	2
86	тем что	6	2
87	личности и	2	2
88	одно из	5	2
89	мысль о	2	2
90	его в	2	2
91	в своей	6	2
92	и о	4	2
93	ничего не	5	2
94	к ней	2	2
95	о любви	2	2
96	но в	2	2
