N	3gram	Bakhtin_fo_1	Problemy
1	к себе самому	4	13
2	в то же	6	10
3	то же время	9	10
4	с самого начала	2	8
5	с самим собой	2	7
6	с самим собою	3	7
7	по отношению к	3	6
8	мы уже говорили	3	5
9	той или иной	2	4
10	и прежде всего	2	4
11	одно и то	3	3
12	и для себя	2	3
13	и то же	3	3
14	к тому же	2	3
15	друг к другу	2	3
16	не может быть	3	3
17	с точки зрения	2	2
18	и в то	5	2
19	друг на друга	2	2
20	в его целом	2	2
21	в отличие от	2	2
22	вполне понятно что	4	2
23	как раз и	2	2
24	как мы уже	8	2
25	в том что	2	2
26	но все же	2	2
