N	2gram	Losev_Prob_4	TeoriaLi
1	не только	24	18
2	в качестве	10	17
3	и не	28	16
4	а в	4	14
5	в частности	2	13
6	и в	20	13
7	может быть	9	12
8	так и	10	12
9	то есть	27	12
10	при этом	6	11
11	в этом	9	11
12	в том	20	11
13	но не	5	10
14	а не	7	10
15	и его	10	10
16	в его	3	9
17	то же	7	9
18	что в	3	8
19	такого рода	7	8
20	но и	14	8
21	себя в	2	7
22	в себе	12	7
23	том что	12	7
24	в данном	6	7
25	точки зрения	14	7
26	в то	4	7
27	только в	23	7
28	как это	3	7
29	с его	2	6
30	еще не	7	6
31	как бы	4	6
32	но в	8	6
33	однако в	2	5
34	в своем	3	5
35	или иного	3	5
36	или иной	13	5
37	а также	6	5
38	в ее	5	5
39	как и	6	5
40	не в	13	5
41	в пределах	2	5
42	в самом	2	5
43	того или	3	5
44	в нем	5	5
45	данном случае	5	5
46	как в	5	5
47	он не	2	5
48	уже не	5	5
49	тем самым	4	5
50	с другой	7	5
51	мы имеем	6	5
52	не менее	10	4
53	в стихотворении	2	4
54	можно сказать	5	4
55	ни в	17	4
56	более или	2	4
57	в своей	4	4
58	то что	15	4
59	по преимуществу	2	4
60	или менее	2	4
61	не может	5	4
62	сказать что	7	4
63	хотя и	5	4
64	и ее	4	4
65	говорить о	2	4
66	ни к	2	3
67	перед нами	13	3
68	в нашем	12	3
69	в этих	5	3
70	со своей	2	3
71	в отношении	4	3
72	этом смысле	3	3
73	прежде всего	11	3
74	и к	3	3
75	а только	6	3
76	тем не	10	3
77	по своему	6	3
78	для него	3	3
79	той или	14	3
80	и потому	7	3
81	с ее	2	3
82	другой стороны	6	3
83	как раз	4	3
84	таким образом	8	3
85	именно в	7	3
86	в другом	3	3
87	и что	2	3
88	и по	2	3
89	или в	5	3
90	и то	2	3
91	потому что	15	3
92	в этой	4	3
93	его в	2	3
94	все эти	16	3
95	в художественном	4	3
96	сама по	2	2
97	только не	4	2
98	если бы	8	2
99	была бы	2	2
100	за пределы	2	2
101	между собой	2	2
102	в конце	2	2
103	жизни в	2	2
104	того же	2	2
105	это не	7	2
106	о себе	3	2
107	и весьма	2	2
108	вовсе не	21	2
109	или иных	3	2
110	по себе	11	2
111	в литературе	2	2
112	что он	8	2
113	к тому	3	2
114	об этом	6	2
115	при условии	2	2
116	но как	3	2
117	и как	3	2
118	что они	2	2
119	казалось бы	3	2
120	имеем дело	3	2
121	и больше	2	2
122	одной из	4	2
123	из которых	3	2
124	к его	3	2
125	здесь мы	3	2
126	в виду	6	2
127	и тем	7	2
128	к нему	3	2
129	во всех	4	2
130	вместе с	5	2
131	дело не	3	2
132	но она	3	2
133	а именно	2	2
134	человеческой жизни	5	2
135	здесь не	7	2
136	и для	4	2
137	известного рода	5	2
138	это и	4	2
139	тех или	4	2
140	в той	8	2
141	и о	5	2
142	говорит что	2	2
143	с точки	11	2
144	и даже	9	2
145	и притом	2	2
146	так же	5	2
147	либо в	2	2
148	тот или	2	2
149	и возможность	2	2
150	человеческих отношений	4	2
151	как будто	11	2
152	о том	5	2
153	произведения искусства	2	2
154	и это	2	2
155	в чем	2	2
156	в которой	2	2
157	в области	3	2
158	это было	2	2
