N	2gram	Berdyaev_M_1	RusskieA
1	и в	28	36
2	не только	29	22
3	что в	10	19
4	том что	3	19
5	в том	6	17
6	т е	2	17
7	но и	25	16
8	так как	3	15
9	в этом	20	12
10	в этот	2	10
11	это не	5	10
12	как и	5	10
13	вместе с	6	10
14	и на	6	10
15	потому что	16	10
16	а в	4	9
17	с тем	9	8
18	у нас	5	8
19	мы увидим	3	8
20	может быть	30	8
21	один из	4	8
22	и по	4	8
23	о том	2	8
24	что и	4	7
25	и не	11	6
26	для нас	3	6
27	в них	4	6
28	уже не	4	6
29	все это	6	6
30	не имеет	3	6
31	то что	5	6
32	будто бы	3	6
33	все же	2	5
34	как будто	2	5
35	как бы	2	5
36	и у	2	5
37	в которых	4	5
38	одно из	3	5
39	как в	2	5
40	к этому	2	4
41	с собой	3	4
42	к тому	3	4
43	еще в	2	4
44	его с	2	4
45	и их	3	4
46	в их	4	4
47	в россии	2	4
48	не может	28	4
49	входит в	2	4
50	и что	2	4
51	того что	7	4
52	тем что	4	4
53	только в	6	4
54	для них	3	3
55	о чем	2	3
56	в этих	4	3
57	в своем	10	3
58	в свою	2	3
59	и к	2	3
60	на этом	3	3
61	христа и	3	3
62	приводит к	2	3
63	в середине	4	3
64	на этот	2	3
65	и те	2	3
66	ничего не	3	3
67	точки зрения	4	3
68	то есть	3	3
69	не было	18	2
70	могут быть	2	2
71	с этим	3	2
72	христа в	5	2
73	и потому	10	2
74	в нем	13	2
75	у него	17	2
76	интерес к	3	2
77	в жизни	3	2
78	он был	14	2
79	и как	2	2
80	мы видим	2	2
81	но не	8	2
82	до конца	14	2
83	она не	4	2
84	чем у	4	2
85	чем в	2	2
86	когда он	3	2
87	так называемый	2	2
88	в ней	15	2
89	в его	9	2
90	не значит	2	2
91	и с	3	2
92	его как	2	2
93	значит что	4	2
94	с ней	2	2
95	в свете	3	2
96	все эти	2	2
97	а не	25	2
98	и для	2	2
99	с ним	2	2
100	себя и	3	2
101	к ней	4	2
102	но в	7	2
103	как он	2	2
104	в более	2	2
105	у которых	2	2
