N	2gram	Bakhtin_fo_1	PoTuStor
1	может быть	11	17
2	и в	50	16
3	прежде всего	15	9
4	таким образом	11	9
5	и проч	4	9
6	в этом	25	9
7	совершенно не	2	8
8	и его	16	8
9	и с	4	8
10	точки зрения	5	8
11	не может	6	8
12	с его	9	7
13	сказать что	3	7
14	не только	9	7
15	и это	4	6
16	и к	2	6
17	с точки	2	6
18	для него	2	6
19	при этом	3	6
20	конечно не	4	6
21	отношение к	2	5
22	все эти	9	5
23	в чем	2	5
24	ни в	8	5
25	еще не	5	5
26	как бы	2	5
27	с самого	2	4
28	самого начала	2	4
29	в нем	24	4
30	и их	8	4
31	отнюдь не	5	4
32	но и	8	4
33	так и	12	4
34	все это	4	4
35	хотя бы	2	4
36	и все	6	4
37	так как	6	4
38	и не	14	4
39	как мы	14	4
40	и ее	3	4
41	и даже	2	4
42	и на	8	4
43	с ее	6	4
44	и может	2	4
45	только в	4	4
46	его в	3	4
47	для всех	2	4
48	но в	10	4
49	в его	13	4
50	на этой	4	3
51	в этих	3	3
52	по сравнению	2	3
53	что в	5	3
54	жизни и	8	3
55	во всех	6	3
56	и др	9	3
57	могут быть	5	3
58	вместе с	3	3
59	сих пор	3	3
60	сравнению с	2	3
61	даже не	2	3
62	чем не	3	3
63	отношения к	3	3
64	в одном	3	3
65	к себе	4	3
66	те же	2	3
67	в том	9	3
68	а в	3	3
69	том что	4	3
70	и как	10	3
71	с другими	3	3
72	с их	2	3
73	то что	6	3
74	их в	3	3
75	в основе	5	3
76	только на	3	3
77	тех же	2	3
78	но оно	2	3
79	во всяком	3	3
80	в основном	5	3
81	и потому	3	3
82	до сих	3	3
83	между ними	3	3
84	ее в	2	2
85	нет и	2	2
86	и исторического	2	2
87	поэтому и	3	2
88	один из	3	2
89	не могут	3	2
90	что и	3	2
91	же как	2	2
92	нем нет	2	2
93	в частности	6	2
94	никогда не	2	2
95	что не	3	2
96	между собой	4	2
97	в них	4	2
98	если мы	2	2
99	того же	8	2
100	во всей	3	2
101	вообще не	3	2
102	оно не	2	2
103	с этим	6	2
104	его целом	2	2
105	в жизни	6	2
106	то же	11	2
107	к этому	3	2
108	не знает	3	2
109	только и	5	2
110	на них	2	2
111	и других	3	2
112	с помощью	2	2
113	мы не	3	2
114	в одно	3	2
115	и т.п	4	2
116	что мы	2	2
117	у него	6	2
118	и по	2	2
119	и для	4	2
120	для нас	2	2
121	в этот	2	2
122	как и	8	2
123	на основе	2	2
124	они не	3	2
125	своей жизни	4	2
126	мы видим	3	2
127	так же	6	2
128	друг на	2	2
129	есть в	2	2
130	мы уже	11	2
131	совсем не	2	2
132	он не	5	2
133	в каком	2	2
134	момент в	2	2
135	на друга	2	2
136	в начале	3	2
137	в пределах	5	2
138	и вообще	2	2
139	ту же	2	2
140	было бы	2	2
141	со всеми	3	2
142	все то	2	2
143	в самом	8	2
144	в своей	2	2
145	с ним	2	2
146	к ним	2	2
147	так называемый	2	2
148	можно назвать	2	2
149	всей жизни	2	2
150	себя и	3	2
