N	2gram	Propp_Isto_7	NovoeSre
1	а не	8	17
2	не может	14	16
3	и в	24	16
4	и не	4	11
5	что в	13	9
6	он не	6	8
7	в том	7	8
8	не будет	2	7
9	как и	6	7
10	в этом	12	7
11	может быть	14	7
12	с его	3	6
13	никогда не	4	6
14	не в	9	6
15	но это	3	6
16	ни в	2	6
17	в нем	6	5
18	все это	8	5
19	не только	21	5
20	не менее	5	4
21	то что	7	4
22	в них	3	4
23	это не	10	4
24	и все	6	4
25	не имеет	4	4
26	потому что	9	4
27	прежде всего	2	4
28	о том	9	4
29	но и	11	3
30	с другой	9	3
31	вопрос о	3	3
32	во всех	7	3
33	что такое	2	3
34	в ее	2	3
35	в основе	2	3
36	конечно не	2	3
37	как в	12	3
38	она не	2	3
39	еще не	8	3
40	сказать что	2	3
41	к ним	2	3
42	у него	10	2
43	вместе с	7	2
44	так и	5	2
45	что она	5	2
46	другой стороны	8	2
47	и от	2	2
48	не знал	2	2
49	а в	10	2
50	с одной	5	2
51	все эти	2	2
52	думать что	2	2
53	в одну	2	2
54	уже не	2	2
55	одной стороны	5	2
56	и даже	3	2
57	но не	6	2
58	так же	6	2
59	по существу	4	2
60	время как	2	2
61	мы не	4	2
62	том что	10	2
63	связаны с	2	2
64	же как	4	2
65	одна из	7	2
66	и что	10	2
67	с этим	2	2
68	и на	2	2
69	в то	2	2
70	и это	2	2
71	не имеют	2	2
72	том чтобы	3	2
73	как это	2	2
74	но для	2	2
75	хотя и	3	2
76	должно было	2	2
77	но в	5	2
