N	2gram	Potebnia_M_1	VeschiIm
1	не есть	10	49
2	не может	22	33
3	не только	21	31
4	может быть	27	29
5	и не	18	28
6	и в	39	26
7	то что	10	24
8	и есть	2	23
9	и т	6	21
10	т д	4	20
11	а не	21	20
12	есть только	11	17
13	в смысле	4	15
14	и следовательно	2	15
15	только в	25	14
16	и что	10	13
17	того что	8	13
18	по себе	10	13
19	что это	3	12
20	было бы	12	12
21	но и	20	12
22	сказать что	3	12
23	есть не	2	12
24	все же	6	12
25	и то	3	12
26	что же	2	11
27	таким образом	13	11
28	с нею	4	11
29	то же	6	10
30	уже не	2	10
31	в ней	7	10
32	как бы	6	10
33	потому что	52	10
34	что мы	4	10
35	есть нечто	4	10
36	в том	26	9
37	в самом	3	9
38	есть явление	2	9
39	бы то	2	9
40	и с	3	9
41	ни было	2	9
42	прежде всего	4	9
43	то ни	3	9
44	что не	10	9
45	иное как	2	8
46	на то	2	8
47	но это	5	8
48	с ее	2	8
49	что иное	2	8
50	не что	2	8
51	в себе	13	8
52	и это	3	8
53	что оно	2	7
54	в то	4	7
55	так как	21	7
56	том что	16	7
57	не будет	2	7
58	и их	3	7
59	в этом	15	7
60	так что	16	6
61	и как	6	6
62	что в	22	6
63	для него	4	6
64	но если	2	6
65	жизни и	2	6
66	со стороны	8	6
67	и только	2	6
68	должно быть	7	6
69	точки зрения	8	6
70	когда мы	2	6
71	то не	3	6
72	но в	9	6
73	по крайней	2	6
74	она не	3	6
75	крайней мере	2	6
76	относится к	3	6
77	если мы	3	6
78	с ним	3	6
79	быть только	5	6
80	не менее	6	5
81	должна быть	3	5
82	это не	7	5
83	с этой	2	5
84	тем не	6	5
85	не в	15	5
86	свою очередь	4	5
87	еще не	6	5
88	из себя	5	5
89	для этого	2	5
90	должны быть	7	5
91	а в	5	5
92	что для	3	5
93	с тем	5	5
94	если бы	14	5
95	в свою	4	5
96	у нас	2	5
97	но не	8	5
98	того же	3	5
99	в сущности	2	5
100	для себя	3	5
101	и для	5	5
102	в своем	3	4
103	с другой	7	4
104	оно и	3	4
105	независимо от	6	4
106	же время	4	4
107	между собою	6	4
108	с а	2	4
109	только то	2	4
110	судить о	3	4
111	в их	2	4
112	то и	7	4
113	быть не	4	4
114	точке зрения	2	4
115	от того	4	4
116	и даже	4	4
117	с этим	7	4
118	о том	2	4
119	не существует	2	4
120	и более	2	4
121	для всякого	2	4
122	но тогда	2	4
123	и все	3	4
124	бытия и	3	4
125	то это	5	4
126	как и	9	4
127	во всех	5	4
128	на себе	2	4
129	и о	2	4
130	его на	2	4
131	и потому	5	4
132	оно не	3	4
133	что и	6	4
134	этот вопрос	2	4
135	с точки	3	4
136	мы не	10	4
137	тем что	9	4
138	есть как	2	3
139	сама по	3	3
140	и другое	3	3
141	никогда не	4	3
142	вопрос о	4	3
143	в собственном	2	3
144	что именно	2	3
145	к тому	4	3
146	несмотря на	5	3
147	в нем	20	3
148	но как	3	3
149	тогда когда	9	3
150	нисколько не	2	3
151	само по	4	3
152	даже и	2	3
153	в одном	8	3
154	в жизни	3	3
155	в понятии	2	3
156	она может	3	3
157	и притом	4	3
158	мы видим	4	3
159	могла бы	2	3
160	нужно было	3	3
161	между прочим	2	3
162	к ней	2	3
163	в своей	3	3
164	вместе с	8	3
165	так и	13	3
166	только на	3	3
167	из того	2	3
168	бы в	4	3
169	того чтобы	2	3
170	хотя бы	2	3
171	тому как	4	3
172	тем более	2	3
173	с в	5	3
174	подобно тому	3	3
175	и вообще	3	3
176	ее с	2	3
177	вопроса о	2	3
178	явлений и	3	3
179	и самое	2	3
180	то она	2	2
181	мы будем	2	2
182	тому что	3	2
183	и след	3	2
184	была бы	2	2
185	на все	2	2
186	а потому	10	2
187	по законам	2	2
188	что на	6	2
189	а только	4	2
190	есть уже	3	2
191	в самой	3	2
192	но все	2	2
193	мог бы	2	2
194	и если	2	2
195	в виду	2	2
196	но совершенно	2	2
197	и тем	3	2
198	образом и	2	2
199	в разных	2	2
200	в слове	8	2
201	заключается в	3	2
202	во втором	5	2
203	не мог	3	2
204	так же	5	2
205	не из	3	2
206	в своих	4	2
207	в более	4	2
208	и понимания	9	2
209	самого себя	4	2
210	а так	4	2
211	в первом	5	2
212	ли в	2	2
213	звуки и	2	2
214	как она	3	2
215	то есть	42	2
216	мы можем	2	2
217	на него	3	2
218	взаимного понимания	2	2
219	и во	3	2
220	бы ни	4	2
221	о которых	2	2
222	понимание есть	2	2
223	то в	5	2
224	и может	2	2
225	но оно	3	2
226	для нее	2	2
227	никак не	2	2
228	он не	3	2
229	но уже	2	2
230	из самого	3	2
231	как в	10	2
232	мысли и	9	2
233	тогда как	2	2
234	если не	2	2
235	еще более	2	2
236	как мы	2	2
237	для того	3	2
238	тем же	2	2
239	и его	5	2
240	той же	3	2
241	с но	4	2
242	во всяком	3	2
243	если же	5	2
244	об отношении	3	2
245	дело в	2	2
246	не потому	2	2
247	не все	2	2
248	том как	3	2
249	с другою	2	2
