N	2gram	Losev_Vlad_2	Marksizm
1	точки зрения	7	34
2	может быть	7	26
3	и не	18	26
4	не может	9	24
5	с точки	3	20
6	и в	30	19
7	и его	6	19
8	таким образом	3	17
9	в этом	20	16
10	как бы	5	15
11	прежде всего	6	13
12	как мы	11	13
13	как и	5	12
14	так и	5	11
15	и для	3	11
16	связи с	8	11
17	в самом	2	10
18	в нем	4	10
19	для него	9	9
20	в результате	5	9
21	только в	6	9
22	при этом	5	8
23	но и	8	8
24	друг друга	2	8
25	не только	12	8
26	все же	9	8
27	то что	20	8
28	в связи	8	7
29	все эти	5	7
30	так же	4	7
31	но в	8	7
32	во всех	3	7
33	бытия в	2	7
34	то же	4	7
35	а не	7	7
36	в том	18	6
37	кроме того	9	6
38	в настоящее	2	6
39	настоящее время	2	6
40	того же	5	6
41	в основном	5	6
42	в его	11	6
43	мы не	2	6
44	ничего не	2	6
45	в конце	13	5
46	именно в	4	5
47	мы знаем	4	5
48	не в	9	5
49	до конца	7	5
50	конечно не	4	5
51	те же	3	5
52	в начале	4	5
53	и потому	2	5
54	и все	7	5
55	к этому	6	5
56	вовсе не	4	5
57	в отличие	3	5
58	того чтобы	2	5
59	хотя бы	3	5
60	во всяком	6	5
61	отличие от	3	5
62	что в	12	4
63	не менее	7	4
64	в отношении	3	4
65	в ней	4	4
66	здесь мы	3	4
67	не столько	3	4
68	а в	11	4
69	и на	4	4
70	тот же	5	4
71	сказать что	11	4
72	жизни в	2	4
73	с этим	5	4
74	по себе	5	4
75	было бы	9	4
76	что же	8	4
77	как в	3	4
78	мысли и	2	4
79	для того	2	4
80	в данном	3	4
81	и есть	2	3
82	и от	2	3
83	и ту	2	3
84	здесь в	2	3
85	можно сказать	4	3
86	и как	3	3
87	в дальнейшем	5	3
88	же время	3	3
89	в котором	5	3
90	все это	5	3
91	не было	10	3
92	конце концов	3	3
93	того что	5	3
94	не имеет	2	3
95	в то	9	3
96	его в	4	3
97	нет ничего	3	3
98	в бытии	2	3
99	и к	6	3
100	том что	12	3
101	и при	2	3
102	мы должны	4	3
103	в сущности	2	3
104	он не	4	3
105	не есть	4	3
106	в своей	5	3
107	на этот	4	3
108	к этим	2	3
109	но все	2	3
110	и это	3	3
111	в которой	4	3
112	в области	3	3
113	в частности	2	2
114	никогда не	7	2
115	в своем	8	2
116	первый план	2	2
117	тем не	6	2
118	ни в	7	2
119	свою очередь	2	2
120	в свою	3	2
121	в виду	2	2
122	всяком случае	6	2
123	себе и	2	2
124	в эти	7	2
125	жизни и	6	2
126	как к	2	2
127	и даже	10	2
128	должно быть	3	2
129	можно было	2	2
130	в своих	2	2
131	в работе	2	2
132	с этой	4	2
133	же и	2	2
134	из этих	3	2
135	к его	2	2
136	о том	4	2
137	как он	2	2
138	так как	5	2
139	к этой	2	2
140	и с	14	2
141	и во	2	2
142	быть в	3	2
143	что он	13	2
144	же они	2	2
145	в себе	6	2
146	у нас	6	2
147	то в	5	2
148	она не	2	2
149	другими словами	5	2
150	мы уже	2	2
151	к тому	2	2
152	на первый	2	2
153	что и	3	2
154	отчет в	2	2
155	и всего	2	2
156	и прежде	2	2
157	в двух	2	2
158	что не	2	2
159	и он	4	2
160	той же	4	2
161	в таком	3	2
162	или иначе	3	2
163	мы пока	2	2
164	и вообще	10	2
165	из этого	5	2
166	в чем	2	2
