N	2gram	Losev_Prob_3	VeschiIm
1	не есть	35	49
2	вещи есть	2	38
3	не может	7	33
4	не только	14	31
5	может быть	28	29
6	и не	35	28
7	и в	44	26
8	то что	23	24
9	вещи и	7	24
10	и есть	5	23
11	это значит	4	22
12	значит что	7	22
13	и т	13	21
14	т д	13	20
15	а не	18	20
16	не просто	23	18
17	есть только	4	17
18	и следовательно	2	15
19	только в	19	14
20	и что	7	13
21	того что	8	13
22	самой вещи	4	13
23	по себе	25	13
24	что это	3	12
25	смысл вещи	3	12
26	было бы	8	12
27	но и	10	12
28	сказать что	16	12
29	есть не	5	12
30	все же	6	12
31	и то	14	12
32	и ее	3	12
33	что же	8	11
34	таким образом	9	11
35	с нею	2	11
36	то же	13	10
37	уже не	7	10
38	в ней	5	10
39	как бы	9	10
40	и больше	3	10
41	потому что	25	10
42	что мы	8	10
43	не значит	3	10
44	есть нечто	8	10
45	что такое	3	10
46	в том	21	9
47	в самом	3	9
48	бы то	4	9
49	и с	9	9
50	больше ничего	2	9
51	ни было	3	9
52	прежде всего	3	9
53	то ни	6	9
54	еще и	7	9
55	иное как	4	8
56	на то	3	8
57	но это	8	8
58	с ее	2	8
59	что иное	4	8
60	не что	4	8
61	в себе	8	8
62	и это	9	8
63	ничего не	3	8
64	со своим	2	7
65	совершенно не	4	7
66	что оно	2	7
67	также и	16	7
68	говорить о	3	7
69	в то	9	7
70	его в	3	7
71	так как	9	7
72	том что	12	7
73	есть и	2	7
74	указывает на	7	7
75	себя в	2	7
76	как раз	8	7
77	д и	4	7
78	с другими	3	7
79	в этом	17	7
80	так что	12	6
81	и как	3	6
82	это есть	3	6
83	что они	5	6
84	есть ни	3	6
85	что является	2	6
86	но что	2	6
87	что в	8	6
88	для него	3	6
89	но если	6	6
90	жизни и	6	6
91	ни с	4	6
92	данной вещи	2	6
93	отличается от	4	6
94	и только	6	6
95	в результате	2	6
96	точки зрения	5	6
97	когда мы	15	6
98	но в	12	6
99	по крайней	5	6
100	ясно что	6	6
101	одно и	3	6
102	она не	3	6
103	крайней мере	5	6
104	если мы	16	6
105	с ним	7	6
106	можно было	4	6
107	вещь но	2	6
108	не менее	10	5
109	содержит в	3	5
110	в отношении	2	5
111	это не	9	5
112	с этой	3	5
113	тем не	10	5
114	не в	13	5
115	еще не	5	5
116	из себя	3	5
117	и до	2	5
118	для этого	6	5
119	только и	8	5
120	а в	5	5
121	что для	3	5
122	есть просто	2	5
123	чем же	4	5
124	что тут	3	5
125	ни на	3	5
126	с самой	3	5
127	с тем	5	5
128	если бы	3	5
129	отнюдь не	10	5
130	в ее	4	5
131	у нас	10	5
132	это и	7	5
133	но не	3	5
134	того же	2	5
135	другими словами	6	5
136	для себя	2	5
137	и для	2	5
138	ни от	4	5
139	в чем	4	5
140	как только	3	4
141	с чем	2	4
142	ведь не	2	4
143	можно ли	4	4
144	в своем	5	4
145	с другой	7	4
146	есть то	3	4
147	есть ее	4	4
148	между собою	2	4
149	только то	2	4
150	из них	2	4
151	в их	2	4
152	то и	5	4
153	мы говорим	4	4
154	от того	2	4
155	и даже	14	4
156	с этим	2	4
157	о том	6	4
158	и более	2	4
159	но тогда	3	4
160	и все	3	4
161	то это	10	4
162	как и	10	4
163	во всех	2	4
164	на себе	3	4
165	и о	5	4
166	и потому	7	4
167	что и	9	4
168	быть и	3	4
169	даже не	2	4
170	собственно говоря	5	4
171	этот вопрос	3	4
172	с точки	2	4
173	то или	3	4
174	мы не	7	4
175	в данном	9	4
176	тем что	4	4
177	определенным образом	2	4
178	ни только	2	4
179	же не	2	4
180	сама по	8	3
181	никогда не	6	3
182	но даже	4	3
183	можно сказать	6	3
184	к тому	3	3
185	без всякого	3	3
186	как о	5	3
187	и сам	5	3
188	в нем	9	3
189	сам по	6	3
190	все это	5	3
191	отношения к	3	3
192	никакого отношения	4	3
193	что смысл	2	3
194	мы находим	7	3
195	всегда есть	2	3
196	о ней	2	3
197	но как	4	3
198	и ни	3	3
199	а это	3	3
200	мы имеем	2	3
201	или как	3	3
202	же самой	4	3
203	нисколько не	2	3
204	само по	3	3
205	даже и	16	3
206	но когда	2	3
207	в понятии	2	3
208	не мешает	3	3
209	что он	9	3
210	она уже	3	3
211	она может	2	3
212	и притом	4	3
213	есть именно	5	3
214	мы возьмем	3	3
215	ни о	3	3
216	между прочим	2	3
217	себе не	2	3
218	в своей	5	3
219	вместе с	2	3
220	так и	10	3
221	да и	5	3
222	только на	5	3
223	и тогда	3	3
224	а с	2	3
225	из того	3	3
226	в той	3	3
227	самом деле	3	3
228	бы в	2	3
229	хотя бы	3	3
230	тем более	3	3
231	не то	2	3
232	с самим	3	3
233	и вообще	8	3
234	как оно	3	3
235	в основе	2	3
236	мы будем	2	2
237	часто бывает	3	2
238	это уже	3	2
239	в частности	2	2
240	тому что	4	2
241	именно потому	3	2
242	же есть	2	2
243	а только	5	2
244	есть уже	3	2
245	и можно	2	2
246	ни в	8	2
247	в самой	2	2
248	но все	3	2
249	и нет	2	2
250	кроме того	3	2
251	и если	6	2
252	мы уже	4	2
253	не стоит	2	2
254	в виду	10	2
255	и тоже	3	2
256	бы к	3	2
257	и тем	9	2
258	образом и	2	2
259	данном случае	7	2
260	но только	6	2
261	мы говорили	2	2
262	чем не	3	2
263	этой точки	2	2
264	в слове	2	2
265	тех или	5	2
266	заключается в	4	2
267	и самой	4	2
268	так же	5	2
269	жизнь и	2	2
270	есть обязательно	4	2
271	самого себя	3	2
272	как это	2	2
273	как она	2	2
274	то есть	34	2
275	ничем не	2	2
276	однако это	2	2
277	мы можем	6	2
278	ни к	3	2
279	поэтому и	2	2
280	с которой	2	2
281	является в	2	2
282	находим в	3	2
283	не сама	3	2
284	о чем	2	2
285	именно так	3	2
286	на нас	2	2
287	и во	2	2
288	с собой	3	2
289	просто как	2	2
290	о которых	3	2
291	это тоже	2	2
292	смысле что	3	2
293	то в	3	2
294	в качестве	3	2
295	себе как	3	2
296	но именно	2	2
297	и может	2	2
298	это так	2	2
299	но оно	3	2
300	для нее	2	2
301	никак не	9	2
302	об этом	3	2
303	он не	8	2
304	только к	2	2
305	себя не	2	2
306	но уже	3	2
307	когда он	2	2
308	нечто целое	2	2
309	тоже есть	4	2
310	как в	5	2
311	и сама	2	2
312	как нечто	9	2
313	о каком	2	2
314	если не	3	2
315	все равно	3	2
316	как мы	8	2
317	самого же	2	2
318	тем же	2	2
319	своей собственной	2	2
320	и его	5	2
321	не указывает	3	2
322	ничто не	2	2
323	тут же	4	2
324	во всяком	9	2
325	на ее	2	2
326	если же	3	2
327	дело в	4	2
328	состоит из	5	2
329	же такое	3	2
330	том как	2	2
331	это было	2	2
