N	2gram	Bakhtin_sl_2	NovoeSre
1	а не	14	17
2	не может	20	16
3	и в	39	16
4	и не	22	11
5	что в	3	9
6	жизни и	6	8
7	он не	2	8
8	в том	5	8
9	как и	6	7
10	в этом	16	7
11	к новому	3	7
12	может быть	37	7
13	с его	7	6
14	никогда не	7	6
15	не знает	2	6
16	не в	9	6
17	лишь в	3	6
18	но это	3	6
19	ни в	4	6
20	должен быть	2	5
21	в нем	19	5
22	все это	16	5
23	с ее	2	5
24	xix века	4	5
25	и к	6	5
26	в ней	3	5
27	не только	24	5
28	не менее	4	4
29	то что	2	4
30	в них	6	4
31	это не	5	4
32	и все	5	4
33	не было	2	4
34	всех сторон	2	4
35	новое время	2	4
36	и для	5	4
37	эпохи и	2	4
38	прежде всего	8	4
39	о том	2	4
40	и потому	7	4
41	но и	21	3
42	должна быть	3	3
43	в истории	11	3
44	жизни в	2	3
45	с другой	5	3
46	стремится к	3	3
47	человека и	3	3
48	во всех	12	3
49	эти формы	4	3
50	в основе	4	3
51	в прошлом	2	3
52	конечно не	5	3
53	как в	13	3
54	она не	6	3
55	еще не	7	3
56	за пределы	2	3
57	сказать что	3	3
58	в новое	4	3
59	на протяжении	2	2
60	себя в	8	2
61	у него	3	2
62	вместе с	2	2
63	но она	2	2
64	и общества	2	2
65	все они	2	2
66	так и	15	2
67	для этого	4	2
68	и т.п	2	2
69	и от	3	2
70	а в	4	2
71	с одной	5	2
72	все эти	6	2
73	уже не	5	2
74	роль в	2	2
75	того чтобы	2	2
76	одной стороны	5	2
77	и даже	7	2
78	хотя бы	3	2
79	но не	6	2
80	ни к	2	2
81	это и	2	2
82	мы не	2	2
83	том что	5	2
84	в смысле	4	2
85	стремиться к	2	2
86	одна из	4	2
87	и с	9	2
88	могут быть	7	2
89	с этим	2	2
90	и на	4	2
91	в мировой	2	2
92	в себе	2	2
93	ведь и	2	2
94	с их	3	2
95	в то	4	2
96	мира и	5	2
97	как это	3	2
98	хотя и	2	2
99	но в	6	2
100	в новом	2	2
