N	2gram	Tiupa_Hudo_1	VerxiiNi
1	и в	19	26
2	таким образом	3	22
3	в этом	11	15
4	точки зрения	10	13
5	как бы	9	12
6	в том	18	11
7	может быть	14	10
8	не только	16	10
9	из этих	3	10
10	что в	6	9
11	но и	10	9
12	в области	6	9
13	с другой	7	8
14	но не	11	8
15	и не	15	8
16	том что	8	7
17	одной стороны	2	7
18	к нему	3	7
19	то что	4	7
20	а с	2	7
21	с одной	2	7
22	потому что	3	7
23	но в	7	7
24	к тому	4	6
25	и потому	2	6
26	того же	2	6
27	что и	2	6
28	так и	11	6
29	все это	2	6
30	в отношении	3	6
31	все эти	2	6
32	с точки	3	6
33	в себе	9	6
34	и т.д	3	6
35	о том	2	6
36	том числе	2	5
37	и к	3	5
38	отношение к	5	5
39	одной из	2	5
40	в его	9	5
41	никогда не	2	5
42	к жизни	2	5
43	или менее	5	5
44	так же	2	5
45	лишь в	4	5
46	а не	9	5
47	того чтобы	2	5
48	для того	2	5
49	и для	2	5
50	в мире	21	5
51	более или	5	5
52	в этих	3	4
53	что он	3	4
54	в нем	5	4
55	в самом	5	4
56	не может	7	4
57	а в	12	4
58	то же	10	4
59	и что	3	4
60	и по	2	4
61	с другими	4	4
62	он не	4	4
63	в то	6	4
64	только в	5	4
65	то есть	18	4
66	в этой	2	4
67	далеко не	2	4
68	не менее	3	3
69	в рамках	8	3
70	и другие	2	3
71	если бы	3	3
72	из которого	4	3
73	так или	3	3
74	каждая из	2	3
75	можно сказать	5	3
76	для него	4	3
77	и как	3	3
78	представляет собой	10	3
79	в своем	2	3
80	в качестве	24	3
81	случае не	2	3
82	и о	3	3
83	не вполне	2	3
84	духовной культуры	2	3
85	тем не	3	3
86	отношению к	9	3
87	при этом	13	3
88	уже не	4	3
89	того что	4	3
90	в которой	2	3
91	или иначе	4	3
92	в одном	2	3
93	есть как	2	2
94	начиная с	2	2
95	с его	6	2
96	именно в	2	2
97	состоит в	16	2
98	одно из	2	2
99	в них	2	2
100	превращается в	2	2
101	и особенно	2	2
102	не как	2	2
103	прежде всего	4	2
104	в свою	3	2
105	или иной	7	2
106	а также	5	2
107	к его	2	2
108	без остатка	2	2
109	по своему	2	2
110	же время	5	2
111	еще не	3	2
112	и больше	2	2
113	той или	4	2
114	не могло	2	2
115	один из	2	2
116	не с	2	2
117	во всех	3	2
118	быть и	2	2
119	приводит к	5	2
120	отличается от	2	2
121	мы имеем	6	2
122	в самой	2	2
123	в одно	2	2
124	либо в	2	2
125	и на	2	2
126	сказать что	4	2
127	не в	7	2
128	совершенно иной	2	2
129	по своей	7	2
130	и это	2	2
131	из этого	2	2
132	к которому	4	2
133	между тем	4	2
134	в виду	5	2
