N	2gram	Tiupa_Hudo_1	Formalny
1	и в	14	38
2	в этом	11	27
3	т е	4	26
4	может быть	5	23
5	и его	5	21
6	и не	2	20
7	в самом	4	16
8	прежде всего	11	15
9	не в	7	15
10	и т	11	14
11	не может	7	14
12	в нем	3	13
13	но и	5	13
14	связи с	4	13
15	в пределах	3	12
16	с его	5	11
17	в том	12	11
18	в его	8	10
19	в связи	3	10
20	и с	4	9
21	как и	9	9
22	при этом	12	9
23	не только	12	9
24	т п	8	9
25	отнюдь не	3	8
26	все же	3	8
27	так и	13	8
28	самом деле	5	8
29	тем что	3	8
30	точки зрения	5	8
31	что в	6	7
32	по себе	2	7
33	для него	10	7
34	в своей	10	7
35	этом отношении	3	7
36	как мы	3	7
37	лишь в	3	7
38	уже не	7	7
39	с точки	3	7
40	не было	4	6
41	в результате	2	6
42	то что	8	6
43	в ней	4	6
44	в этой	8	6
45	было бы	6	6
46	в их	2	6
47	то же	9	6
48	все эти	3	6
49	а не	12	6
50	как раз	4	6
51	он не	4	6
52	только в	5	6
53	а в	7	6
54	в первый	2	5
55	если бы	3	5
56	или иного	2	5
57	что он	9	5
58	именно в	7	5
59	же время	8	5
60	по преимуществу	3	5
61	что же	2	5
62	с этим	3	5
63	т д	3	5
64	и для	3	5
65	говорить о	3	5
66	в то	8	5
67	не столько	2	4
68	на фоне	2	4
69	к тому	7	4
70	того или	2	4
71	не о	2	4
72	как бы	7	4
73	и к	4	4
74	из них	4	4
75	как в	8	4
76	что не	2	4
77	и даже	3	4
78	не следует	2	4
79	здесь не	2	4
80	они не	2	4
81	ничего не	8	4
82	но в	5	4
83	если в	2	3
84	же как	2	3
85	произведения не	2	3
86	мы знаем	2	3
87	например в	2	3
88	значительной степени	2	3
89	в целом	2	3
90	жизни и	5	3
91	только на	2	3
92	все это	2	3
93	так в	2	3
94	то и	3	3
95	на самом	2	3
96	такой же	3	3
97	в значительной	2	3
98	того что	4	3
99	того чтобы	3	3
100	особенно в	2	3
101	мы не	2	3
102	и на	3	3
103	хотя и	2	3
104	однако и	3	3
105	как к	3	3
106	слова в	2	3
107	и все	4	3
108	его в	3	3
109	так сказать	2	3
110	б м	2	3
111	по теории	2	3
112	никогда не	6	2
113	состоит в	2	2
114	в этих	5	2
115	в качестве	9	2
116	тому что	4	2
117	перед нами	5	2
118	столь же	4	2
119	это не	7	2
120	установкой на	2	2
121	в одной	2	2
122	в такой	2	2
123	в конце	4	2
124	а только	4	2
125	в ее	3	2
126	до конца	2	2
127	как его	3	2
128	том что	16	2
129	идет о	3	2
130	то в	4	2
131	для всего	2	2
132	от него	3	2
133	но не	3	2
134	но как	2	2
135	и другое	2	2
136	она не	4	2
137	что на	2	2
138	к другому	4	2
139	едва ли	3	2
140	и о	4	2
141	слова как	2	2
142	для нее	2	2
143	даже в	3	2
144	один из	4	2
145	во второй	5	2
146	ни в	5	2
147	со стороны	3	2
148	приводит к	3	2
149	как она	2	2
150	на этом	3	2
151	превращается в	3	2
152	не имеет	2	2
153	и по	3	2
154	должно быть	2	2
155	не была	2	2
156	в таком	3	2
157	с ними	2	2
158	литературного творчества	2	2
159	между тем	8	2
160	ничем не	3	2
161	и от	4	2
162	совершенно иной	2	2
163	и это	4	2
164	в художественном	2	2
165	потому что	5	2
166	с ним	4	2
167	та же	4	2
